,Frequency,Voltage
0,10.0,"0.0522845
"
1,10.0,"0.054024
"
2,10.0,"0.053551
"
3,10.0,"0.0529406
"
4,16.0,"0.0525973
"
5,16.0,"0.0531695
"
6,16.0,"0.0533373
"
7,16.0,"0.0537417
"
8,26.0,"0.0532534
"
9,26.0,"0.0525515
"
10,26.0,"0.0518954
"
11,26.0,"0.0529559
"
12,42.0,"0.0530322
"
13,42.0,"0.051491
"
14,42.0,"0.054291
"
15,42.0,"0.051491
"
16,69.0,"0.0493929
"
17,69.0,"0.0547564
"
18,69.0,"0.0559313
"
19,69.0,"0.0497973
"
20,112.0,"0.0523608
"
21,112.0,"0.053406
"
22,112.0,"0.0544131
"
23,112.0,"0.0536044
"
24,183.0,"0.0443728
"
25,183.0,"0.0634084
"
26,183.0,"0.0436251
"
27,183.0,"0.0595171
"
28,297.0,"0.0497973
"
29,297.0,"0.0548174
"
30,297.0,"0.0522463
"
31,297.0,"0.051018
"
32,483.0,"0.0511096
"
33,483.0,"0.0545962
"
34,483.0,"0.0497515
"
35,483.0,"0.0529788
"
36,784.0,"0.0515978
"
37,784.0,"0.0526965
"
38,784.0,"0.0518343
"
39,784.0,"0.0516512
"
40,1274.0,"0.0498888
"
41,1274.0,"0.0494311
"
42,1274.0,"0.0489962
"
43,1274.0,"0.0503771
"
44,2069.0,"0.0490801
"
45,2069.0,"0.0495913
"
46,2069.0,"0.0484164
"
47,2069.0,"0.0500033
"
48,3359.0,"0.0497057
"
49,3359.0,"0.0489199
"
50,3359.0,"0.0487521
"
51,3359.0,"0.0488818
"
52,5455.0,"0.0475161
"
53,5455.0,"0.047539
"
54,5455.0,"0.0467913
"
55,5455.0,"0.0485995
"
56,8858.0,"0.0456316
"
57,8858.0,"0.0447619
"
58,8858.0,"0.046593
"
59,8858.0,"0.045624
"
60,14384.0,"0.0427706
"
61,14384.0,"0.0444109
"
62,14384.0,"0.0440905
"
63,14384.0,"0.0441134
"
64,23357.0,"0.0411379
"
65,23357.0,"0.0402758
"
66,23357.0,"0.0413363
"
67,23357.0,"0.0421679
"
68,37926.0,"0.0360262
"
69,37926.0,"0.0343478
"
70,37926.0,"0.0340502
"
71,37926.0,"0.0355456
"
72,61584.0,"0.0259935
"
73,61584.0,"0.0251619
"
74,61584.0,"0.0269853
"
75,61584.0,"0.0250856
"
76,100000.0,"0.0159074
"
77,100000.0,"0.0147782
"
78,100000.0,"0.0158159
"
79,100000.0,"0.0161592
"
