,Frequency,Voltage
0,10.0,"0.000183106
"
1,10.0,"0.000183106
"
2,10.0,"0.000175477
"
3,10.0,"0.000183106
"
4,16.0,"0.000289919
"
5,16.0,"0.000289919
"
6,16.0,"0.000297548
"
7,16.0,"0.000282289
"
8,26.0,"0.000473024
"
9,26.0,"0.000450136
"
10,26.0,"0.000473024
"
11,26.0,"0.000465395
"
12,42.0,"0.000762943
"
13,42.0,"0.000732426
"
14,42.0,"0.000778202
"
15,42.0,"0.000770573
"
16,69.0,"0.00131226
"
17,69.0,"0.00125886
"
18,69.0,"0.00115205
"
19,69.0,"0.00122834
"
20,112.0,"0.00197603
"
21,112.0,"0.00198366
"
22,112.0,"0.00198366
"
23,112.0,"0.00203706
"
24,183.0,"0.00354768
"
25,183.0,"0.00280763
"
26,183.0,"0.00395206
"
27,183.0,"0.00273134
"
28,297.0,"0.00511172
"
29,297.0,"0.00543979
"
30,297.0,"0.00508121
"
31,297.0,"0.00534824
"
32,483.0,"0.00815588
"
33,483.0,"0.00843054
"
34,483.0,"0.00816351
"
35,483.0,"0.00815588
"
36,784.0,"0.0133286
"
37,784.0,"0.0130082
"
38,784.0,"0.0129319
"
39,784.0,"0.0132599
"
40,1274.0,"0.0196687
"
41,1274.0,"0.0202714
"
42,1274.0,"0.0202104
"
43,1274.0,"0.0196992
"
44,2069.0,"0.0285417
"
45,2069.0,"0.0291444
"
46,2069.0,"0.0284654
"
47,2069.0,"0.02874
"
48,3359.0,"0.0363543
"
49,3359.0,"0.0355074
"
50,3359.0,"0.0370486
"
51,3359.0,"0.0362093
"
52,5455.0,"0.0376437
"
53,5455.0,"0.0386889
"
54,5455.0,"0.0378344
"
55,5455.0,"0.0379641
"
56,8858.0,"0.035126
"
57,8858.0,"0.0349505
"
58,8858.0,"0.0348589
"
59,8858.0,"0.0351489
"
60,14384.0,"0.0277864
"
61,14384.0,"0.0275575
"
62,14384.0,"0.0275041
"
63,14384.0,"0.0271379
"
64,23357.0,"0.0195619
"
65,23357.0,"0.0190355
"
66,23357.0,"0.0194398
"
67,23357.0,"0.0190889
"
68,37926.0,"0.0110093
"
69,37926.0,"0.0111695
"
70,37926.0,"0.0110703
"
71,37926.0,"0.0110856
"
72,61584.0,"0.0051575
"
73,61584.0,"0.00523379
"
74,61584.0,"0.00537875
"
75,61584.0,"0.00522617
"
76,100000.0,"0.00196077
"
77,100000.0,"0.00183869
"
78,100000.0,"0.0016861
"
79,100000.0,"0.00179292
"
