,Frequency,Voltage
0,30.0,"0.000518803
"
1,30.0,"0.000530247
"
2,30.0,"0.000530247
"
3,30.0,"0.000526432
"
4,30.0,"0.000534061
"
5,30.0,"0.000526432
"
6,30.0,"0.000534061
"
7,30.0,"0.000526432
"
8,30.0,"0.000541691
"
9,30.0,"0.000526432
"
10,2070.0,"0.0276796
"
11,2070.0,"0.029049
"
12,2070.0,"0.0291673
"
13,2070.0,"0.0290719
"
14,2070.0,"0.0289956
"
15,2070.0,"0.0292474
"
16,2070.0,"0.0290986
"
17,2070.0,"0.0289956
"
18,2070.0,"0.0290605
"
19,2070.0,"0.0291101
"
20,4110.0,"0.0389445
"
21,4110.0,"0.0395014
"
22,4110.0,"0.039593
"
23,4110.0,"0.0394518
"
24,4110.0,"0.0394251
"
25,4110.0,"0.0396845
"
26,4110.0,"0.0393565
"
27,4110.0,"0.0394061
"
28,4110.0,"0.0393908
"
29,4110.0,"0.0393679
"
30,6150.0,"0.0407794
"
31,6150.0,"0.0409472
"
32,6150.0,"0.0409014
"
33,6150.0,"0.0410922
"
34,6150.0,"0.0410349
"
35,6150.0,"0.0408595
"
36,6150.0,"0.0409586
"
37,6150.0,"0.0409663
"
38,6150.0,"0.0410082
"
39,6150.0,"0.0409625
"
40,8190.0,"0.0391581
"
41,8190.0,"0.039242
"
42,8190.0,"0.0392992
"
43,8190.0,"0.0392687
"
44,8190.0,"0.0391581
"
45,8190.0,"0.0392458
"
46,8190.0,"0.0392153
"
47,8190.0,"0.0393717
"
48,8190.0,"0.0392344
"
49,8190.0,"0.0392535
"
50,10231.0,"0.0367434
"
51,10231.0,"0.0365069
"
52,10231.0,"0.036629
"
53,10231.0,"0.0365984
"
54,10231.0,"0.0366595
"
55,10231.0,"0.036442
"
56,10231.0,"0.0366099
"
57,10231.0,"0.0366213
"
58,10231.0,"0.0365717
"
59,10231.0,"0.0364916
"
60,12271.0,"0.0339091
"
61,12271.0,"0.0337603
"
62,12271.0,"0.0336764
"
63,12271.0,"0.0338213
"
64,12271.0,"0.0337679
"
65,12271.0,"0.0337603
"
66,12271.0,"0.0337527
"
67,12271.0,"0.0337412
"
68,12271.0,"0.0338366
"
