,Frequency,Voltage
0,10.0,"0.0523875
"
1,10.0,"0.0522807
"
2,10.0,"0.0522006
"
3,10.0,"0.0522425
"
4,10.0,"0.0521395
"
5,10.0,"0.0521662
"
6,10.0,"0.0521319
"
7,10.0,"0.0525744
"
8,10.0,"0.0521357
"
9,10.0,"0.0520327
"
10,2050.0,"0.0520251
"
11,2050.0,"0.0515406
"
12,2050.0,"0.0516284
"
13,2050.0,"0.051903
"
14,2050.0,"0.0516589
"
15,2050.0,"0.0518267
"
16,2050.0,"0.0515711
"
17,2050.0,"0.051739
"
18,2050.0,"0.0518763
"
19,2050.0,"0.0518
"
20,4091.0,"0.051842
"
21,4091.0,"0.0517123
"
22,4091.0,"0.0516627
"
23,4091.0,"0.0516741
"
24,4091.0,"0.0517237
"
25,4091.0,"0.0517313
"
26,4091.0,"0.0516512
"
27,4091.0,"0.0517848
"
28,4091.0,"0.0517313
"
29,4091.0,"0.0515864
"
30,6131.0,"0.0517809
"
31,6131.0,"0.0517771
"
32,6131.0,"0.0516894
"
33,6131.0,"0.0518649
"
34,6131.0,"0.0516741
"
35,6131.0,"0.0516551
"
36,6131.0,"0.0516589
"
37,6131.0,"0.051636
"
38,6131.0,"0.0518458
"
39,6131.0,"0.0517313
"
40,8172.0,"0.0516512
"
41,8172.0,"0.0518
"
42,8172.0,"0.0517275
"
43,8172.0,"0.0516512
"
44,8172.0,"0.0515063
"
45,8172.0,"0.0518115
"
46,8172.0,"0.0516741
"
47,8172.0,"0.051636
"
48,8172.0,"0.0518115
"
49,8172.0,"0.0516169
"
50,10213.0,"0.0516703
"
51,10213.0,"0.0518229
"
52,10213.0,"0.0517771
"
53,10213.0,"0.0516169
"
54,10213.0,"0.0516741
"
55,10213.0,"0.0517046
"
56,10213.0,"0.0517466
"
57,10213.0,"0.0517123
"
58,10213.0,"0.0518229
"
59,10213.0,"0.0517848
"
60,12253.0,"0.0516741
"
61,12253.0,"0.0516551
"
62,12253.0,"0.0517046
"
63,12253.0,"0.0517466
"
64,12253.0,"0.0517008
"
65,12253.0,"0.0518038
"
66,12253.0,"0.0517542
"
67,12253.0,"0.0516436
"
68,12253.0,"0.0518649
"
69,12253.0,"0.0516245
"
70,14294.0,"0.0516245
"
71,14294.0,"0.0516055
"
72,14294.0,"0.0515521
"
73,14294.0,"0.0516436
"
74,14294.0,"0.0517504
"
75,14294.0,"0.0517313
"
76,14294.0,"0.051739
"
77,14294.0,"0.0515978
"
78,14294.0,"0.0517581
"
79,14294.0,"0.0516894
"
80,16334.0,"0.0516894
"
81,16334.0,"0.0515788
"
82,16334.0,"0.0516207
"
83,16334.0,"0.0515711
"
84,16334.0,"0.0516665
"
85,16334.0,"0.0516818
"
86,16334.0,"0.0516589
"
87,16334.0,"0.0517199
"
88,16334.0,"0.0516055
"
89,16334.0,"0.0516512
"
90,18375.0,"0.0515711
"
91,18375.0,"0.0516284
"
92,18375.0,"0.0516665
"
93,18375.0,"0.051533
"
94,18375.0,"0.0518954
"
95,18375.0,"0.0516551
"
96,18375.0,"0.0515559
"
97,18375.0,"0.051594
"
98,18375.0,"0.0517161
"
99,18375.0,"0.0517848
"
100,20416.0,"0.0516245
"
101,20416.0,"0.0518382
"
102,20416.0,"0.051861
"
103,20416.0,"0.0516055
"
104,20416.0,"0.0515978
"
105,20416.0,"0.0516207
"
106,20416.0,"0.0516818
"
107,20416.0,"0.0515177
"
108,20416.0,"0.051739
"
109,20416.0,"0.0516627
"
110,22456.0,"0.0516856
"
111,22456.0,"0.0516932
"
112,22456.0,"0.0516779
"
113,22456.0,"0.0517733
"
114,22456.0,"0.0518
"
115,22456.0,"0.0516245
"
116,22456.0,"0.0515215
"
117,22456.0,"0.0516055
"
118,22456.0,"0.0515788
"
119,22456.0,"0.0517275
"
120,24497.0,"0.051739
"
121,24497.0,"0.0515864
"
122,24497.0,"0.0516665
"
123,24497.0,"0.051491
"
124,24497.0,"0.0516779
"
125,24497.0,"0.0515749
"
126,24497.0,"0.0516284
"
127,24497.0,"0.0515444
"
128,24497.0,"0.051491
"
129,24497.0,"0.0516932
"
130,26537.0,"0.0516512
"
131,26537.0,"0.0516551
"
132,26537.0,"0.0515711
"
133,26537.0,"0.0517046
"
134,26537.0,"0.0517161
"
135,26537.0,"0.0517008
"
136,26537.0,"0.0517848
"
137,26537.0,"0.0517275
"
138,26537.0,"0.0516436
"
139,26537.0,"0.0515788
"
140,28578.0,"0.0517504
"
141,28578.0,"0.0514681
"
142,28578.0,"0.0515406
"
143,28578.0,"0.0514147
"
144,28578.0,"0.0516551
"
145,28578.0,"0.0516589
"
146,28578.0,"0.0516207
"
147,28578.0,"0.0517275
"
148,28578.0,"0.0517428
"
149,28578.0,"0.0516703
"
150,30619.0,"0.0516398
"
151,30619.0,"0.0514605
"
152,30619.0,"0.0515978
"
153,30619.0,"0.0516245
"
154,30619.0,"0.0514681
"
155,30619.0,"0.0516284
"
156,30619.0,"0.0516512
"
157,30619.0,"0.0517848
"
158,30619.0,"0.0516818
"
159,30619.0,"0.0517619
"
160,32659.0,"0.0517504
"
161,32659.0,"0.0516627
"
162,32659.0,"0.0515521
"
163,32659.0,"0.0516169
"
164,32659.0,"0.0515292
"
165,32659.0,"0.0517313
"
166,32659.0,"0.0516856
"
167,32659.0,"0.0517085
"
168,32659.0,"0.0515406
"
169,32659.0,"0.0516551
"
170,34700.0,"0.051636
"
171,34700.0,"0.0516207
"
172,34700.0,"0.0514262
"
173,34700.0,"0.05143
"
174,34700.0,"0.0515559
"
175,34700.0,"0.0514224
"
176,34700.0,"0.0513957
"
177,34700.0,"0.0514567
"
178,34700.0,"0.0515826
"
179,34700.0,"0.0516627
"
180,36741.0,"0.0516131
"
181,36741.0,"0.0513613
"
182,36741.0,"0.0515597
"
183,36741.0,"0.0514643
"
184,36741.0,"0.0515406
"
185,36741.0,"0.0516932
"
186,36741.0,"0.0517008
"
187,36741.0,"0.0517046
"
188,36741.0,"0.0515902
"
189,36741.0,"0.0516474
"
190,38781.0,"0.0517046
"
191,38781.0,"0.0517809
"
192,38781.0,"0.0515215
"
193,38781.0,"0.0515368
"
194,38781.0,"0.0516856
"
195,38781.0,"0.0517199
"
196,38781.0,"0.0515978
"
197,38781.0,"0.0515444
"
198,38781.0,"0.0515902
"
199,38781.0,"0.0515215
"
200,40822.0,"0.0515711
"
201,40822.0,"0.0517428
"
202,40822.0,"0.0517809
"
203,40822.0,"0.0516322
"
204,40822.0,"0.0517123
"
205,40822.0,"0.0515368
"
206,40822.0,"0.0515559
"
207,40822.0,"0.0517199
"
208,40822.0,"0.0516703
"
209,40822.0,"0.0515139
"
210,42862.0,"0.0514948
"
211,42862.0,"0.0518343
"
212,42862.0,"0.0516741
"
213,42862.0,"0.0517199
"
214,42862.0,"0.0515978
"
215,42862.0,"0.0515749
"
216,42862.0,"0.0518191
"
217,42862.0,"0.0515749
"
218,42862.0,"0.0516245
"
219,42862.0,"0.0516169
"
220,44903.0,"0.0517581
"
221,44903.0,"0.0515978
"
222,44903.0,"0.051697
"
223,44903.0,"0.0515902
"
224,44903.0,"0.0516207
"
225,44903.0,"0.0516131
"
226,44903.0,"0.0516779
"
227,44903.0,"0.0515749
"
228,44903.0,"0.0515826
"
229,44903.0,"0.0516245
"
230,46944.0,"0.0514796
"
231,46944.0,"0.0518878
"
232,46944.0,"0.0517161
"
233,46944.0,"0.0516207
"
234,46944.0,"0.0515711
"
235,46944.0,"0.0515559
"
236,46944.0,"0.0517046
"
237,46944.0,"0.0515444
"
238,46944.0,"0.0516093
"
239,46944.0,"0.0517352
"
240,48984.0,"0.0514796
"
241,48984.0,"0.0514872
"
242,48984.0,"0.0516818
"
243,48984.0,"0.0515025
"
244,48984.0,"0.051491
"
245,48984.0,"0.0516932
"
246,48984.0,"0.0515711
"
247,48984.0,"0.0518229
"
248,48984.0,"0.0517008
"
249,48984.0,"0.0515254
"
250,51025.0,"0.051739
"
251,51025.0,"0.0516016
"
