,Frequency,Voltage
0,10.0,"0.0538638
"
1,10.0,"0.0541537
"
2,10.0,"0.0539248
"
3,10.0,"0.053818
"
4,16.0,"0.0541842
"
5,16.0,"0.0539401
"
6,16.0,"0.0539858
"
7,16.0,"0.0539019
"
8,26.0,"0.0541842
"
9,26.0,"0.0540011
"
10,26.0,"0.0539782
"
11,26.0,"0.0539248
"
12,42.0,"0.0532382
"
13,42.0,"0.0546191
"
14,42.0,"0.0539401
"
15,42.0,"0.0531008
"
16,69.0,"0.0525134
"
17,69.0,"0.0518038
"
18,69.0,"0.054085
"
19,69.0,"0.0564501
"
20,112.0,"0.0543063
"
21,112.0,"0.0539248
"
22,112.0,"0.0537112
"
23,112.0,"0.0539248
"
24,183.0,"0.058861
"
25,183.0,"0.049927
"
26,183.0,"0.0552981
"
27,183.0,"0.0568011
"
28,297.0,"0.0550845
"
29,297.0,"0.053406
"
30,297.0,"0.0550845
"
31,297.0,"0.0524981
"
32,483.0,"0.0541842
"
33,483.0,"0.0537951
"
34,483.0,"0.0535815
"
35,483.0,"0.0541461
"
36,784.0,"0.0538485
"
37,784.0,"0.0538409
"
38,784.0,"0.0536578
"
39,784.0,"0.0539553
"
40,1274.0,"0.0538104
"
41,1274.0,"0.0537035
"
42,1274.0,"0.0537112
"
43,1274.0,"0.053879
"
44,2069.0,"0.053879
"
45,2069.0,"0.0537875
"
46,2069.0,"0.0537722
"
47,2069.0,"0.0537798
"
48,3359.0,"0.053879
"
49,3359.0,"0.0537264
"
50,3359.0,"0.0537646
"
51,3359.0,"0.0537951
"
52,5455.0,"0.0538409
"
53,5455.0,"0.0538561
"
54,5455.0,"0.053818
"
55,5455.0,"0.0536578
"
56,8858.0,"0.0536883
"
57,8858.0,"0.0537264
"
58,8858.0,"0.0536654
"
59,8858.0,"0.0537112
"
60,14384.0,"0.0536349
"
61,14384.0,"0.0537341
"
62,14384.0,"0.0535891
"
63,14384.0,"0.0537646
"
64,23357.0,"0.0536807
"
65,23357.0,"0.0535204
"
66,23357.0,"0.0534899
"
67,23357.0,"0.0536501
"
68,37926.0,"0.0535662
"
69,37926.0,"0.0533373
"
70,37926.0,"0.0533068
"
71,37926.0,"0.0534518
"
72,61584.0,"0.0534594
"
73,61584.0,"0.0532534
"
74,61584.0,"0.0534441
"
75,61584.0,"0.0535204
"
76,100000.0,"0.0532153
"
77,100000.0,"0.053139
"
78,100000.0,"0.0530627
"
79,100000.0,"0.053139
"
