,Frequency,Voltage
0,10.0,"6.10356e-005
"
1,10.0,"0.000183106
"
2,10.0,"0.000122071
"
3,10.0,"0.000122071
"
4,16.0,"0.000244142
"
5,16.0,"0.000244142
"
6,16.0,"0.000244142
"
7,16.0,"0.000244142
"
8,26.0,"0.000427248
"
9,26.0,"0.000427248
"
10,26.0,"0.000427248
"
11,26.0,"0.000427248
"
12,42.0,"0.000732426
"
13,42.0,"0.000732426
"
14,42.0,"0.000732426
"
15,42.0,"0.000793461
"
16,69.0,"0.00128175
"
17,69.0,"0.00128175
"
18,69.0,"0.00122071
"
19,69.0,"0.00115968
"
20,112.0,"0.00201418
"
21,112.0,"0.00201418
"
22,112.0,"0.00201418
"
23,112.0,"0.00201418
"
24,183.0,"0.00311281
"
25,183.0,"0.00366212
"
26,183.0,"0.00305177
"
27,183.0,"0.00335695
"
28,297.0,"0.00549319
"
29,297.0,"0.00524905
"
30,297.0,"0.00555423
"
31,297.0,"0.00518802
"
32,483.0,"0.00860602
"
33,483.0,"0.00860602
"
34,483.0,"0.00872809
"
35,483.0,"0.00860602
"
36,784.0,"0.0136719
"
37,784.0,"0.0136719
"
38,784.0,"0.013794
"
39,784.0,"0.013794
"
40,1274.0,"0.0211183
"
41,1274.0,"0.0211793
"
42,1274.0,"0.0211183
"
43,1274.0,"0.0211793
"
44,2069.0,"0.0302125
"
45,2069.0,"0.0302736
"
46,2069.0,"0.0303956
"
47,2069.0,"0.0303956
"
48,3359.0,"0.0386965
"
49,3359.0,"0.0388186
"
50,3359.0,"0.0387576
"
51,3359.0,"0.0387576
"
52,5455.0,"0.0426638
"
53,5455.0,"0.0426638
"
54,5455.0,"0.0427248
"
55,5455.0,"0.0427248
"
56,8858.0,"0.0400393
"
57,8858.0,"0.0401614
"
58,8858.0,"0.0400393
"
59,8858.0,"0.0400393
"
60,14384.0,"0.0322268
"
61,14384.0,"0.0322268
"
62,14384.0,"0.0322878
"
63,14384.0,"0.0321047
"
64,23357.0,"0.0229493
"
65,23357.0,"0.0228883
"
66,23357.0,"0.0228883
"
67,23357.0,"0.0228273
"
68,37926.0,"0.0150757
"
69,37926.0,"0.0150147
"
70,37926.0,"0.0150757
"
71,37926.0,"0.0150757
"
72,61584.0,"0.00958258
"
73,61584.0,"0.00952154
"
74,61584.0,"0.00958258
"
75,61584.0,"0.00958258
"
76,100000.0,"0.00598148
"
77,100000.0,"0.00592044
"
78,100000.0,"0.00592044
"
79,100000.0,"0.00592044
"
