,Frequency,Voltage
0,10.0,"7.43871e-005
"
1,10.0,"0.000118256
"
2,10.0,"0.000120163
"
3,10.0,"0.000123979
"
4,16.0,"0.000190736
"
5,16.0,"0.000196458
"
6,16.0,"0.000196458
"
7,16.0,"0.000198365
"
8,26.0,"0.000314714
"
9,26.0,"0.000320436
"
10,26.0,"0.000312807
"
11,26.0,"0.000320436
"
12,42.0,"0.000522617
"
13,42.0,"0.000516895
"
14,42.0,"0.000513081
"
15,42.0,"0.000526432
"
16,69.0,"0.000831608
"
17,69.0,"0.000827793
"
18,69.0,"0.000843052
"
19,69.0,"0.000856403
"
20,112.0,"0.00136567
"
21,112.0,"0.00136567
"
22,112.0,"0.00137521
"
23,112.0,"0.00137139
"
24,183.0,"0.00218393
"
25,183.0,"0.00221826
"
26,183.0,"0.00226404
"
27,183.0,"0.00218774
"
28,297.0,"0.00364305
"
29,297.0,"0.0035515
"
30,297.0,"0.00356485
"
31,297.0,"0.00359537
"
32,483.0,"0.00582126
"
33,483.0,"0.00578883
"
34,483.0,"0.00574878
"
35,483.0,"0.00581935
"
36,784.0,"0.00919157
"
37,784.0,"0.00920302
"
38,784.0,"0.00912482
"
39,784.0,"0.00922781
"
40,1274.0,"0.0140782
"
41,1274.0,"0.0141087
"
42,1274.0,"0.0141354
"
43,1274.0,"0.0141163
"
44,2069.0,"0.0202943
"
45,2069.0,"0.0202771
"
46,2069.0,"0.0202867
"
47,2069.0,"0.020279
"
48,3359.0,"0.0259038
"
49,3359.0,"0.0259534
"
50,3359.0,"0.0259782
"
51,3359.0,"0.0259305
"
52,5455.0,"0.0284806
"
53,5455.0,"0.0285627
"
54,5455.0,"0.0286103
"
55,5455.0,"0.0285836
"
56,8858.0,"0.0267717
"
57,8858.0,"0.0268728
"
58,8858.0,"0.0268022
"
59,8858.0,"0.0267774
"
60,14384.0,"0.021578
"
61,14384.0,"0.0215627
"
62,14384.0,"0.0215932
"
63,14384.0,"0.0216008
"
64,23357.0,"0.0153809
"
65,23357.0,"0.0153905
"
66,23357.0,"0.015318
"
67,23357.0,"0.0153409
"
68,37926.0,"0.0101452
"
69,37926.0,"0.0101319
"
70,37926.0,"0.0101262
"
71,37926.0,"0.0101395
"
72,61584.0,"0.0064564
"
73,61584.0,"0.00644305
"
74,61584.0,"0.00643542
"
75,61584.0,"0.00641635
"
76,100000.0,"0.00399593
"
77,100000.0,"0.00396541
"
78,100000.0,"0.00397685
"
79,100000.0,"0.00397685
"
