,Frequency,Voltage
0,10.0,"3.05178e-005
"
1,10.0,"9.15532e-005
"
2,10.0,"9.15532e-005
"
3,10.0,"9.15532e-005
"
4,16.0,"0.000183106
"
5,16.0,"0.000183106
"
6,16.0,"0.000183106
"
7,16.0,"0.000183106
"
8,26.0,"0.000305178
"
9,26.0,"0.000305178
"
10,26.0,"0.000305178
"
11,26.0,"0.000305178
"
12,42.0,"0.000518803
"
13,42.0,"0.000488285
"
14,42.0,"0.000518803
"
15,42.0,"0.000488285
"
16,69.0,"0.000854496
"
17,69.0,"0.000854496
"
18,69.0,"0.000823978
"
19,69.0,"0.000823978
"
20,112.0,"0.00134278
"
21,112.0,"0.0013733
"
22,112.0,"0.0013733
"
23,112.0,"0.00134278
"
24,183.0,"0.0022278
"
25,183.0,"0.0022278
"
26,183.0,"0.00219728
"
27,183.0,"0.0022278
"
28,297.0,"0.00366212
"
29,297.0,"0.00357057
"
30,297.0,"0.00363161
"
31,297.0,"0.00363161
"
32,483.0,"0.00582889
"
33,483.0,"0.00582889
"
34,483.0,"0.00579837
"
35,483.0,"0.00588992
"
36,784.0,"0.00918585
"
37,784.0,"0.00921637
"
38,784.0,"0.00915533
"
39,784.0,"0.00921637
"
40,1274.0,"0.0141297
"
41,1274.0,"0.0141907
"
42,1274.0,"0.0142213
"
43,1274.0,"0.0141907
"
44,2069.0,"0.0202943
"
45,2069.0,"0.0204164
"
46,2069.0,"0.0203553
"
47,2069.0,"0.0203553
"
48,3359.0,"0.0260926
"
49,3359.0,"0.0260011
"
50,3359.0,"0.0260926
"
51,3359.0,"0.0259706
"
52,5455.0,"0.0286256
"
53,5455.0,"0.0285951
"
54,5455.0,"0.0286561
"
55,5455.0,"0.0286561
"
56,8858.0,"0.0268556
"
57,8858.0,"0.0269166
"
58,8858.0,"0.0269471
"
59,8858.0,"0.0269166
"
60,14384.0,"0.0216676
"
61,14384.0,"0.0217286
"
62,14384.0,"0.0216981
"
63,14384.0,"0.0216981
"
64,23357.0,"0.015442
"
65,23357.0,"0.015442
"
66,23357.0,"0.0154114
"
67,23357.0,"0.0154114
"
68,37926.0,"0.0101929
"
69,37926.0,"0.0101624
"
70,37926.0,"0.0101624
"
71,37926.0,"0.0101624
"
72,61584.0,"0.00643924
"
73,61584.0,"0.00643924
"
74,61584.0,"0.00643924
"
75,61584.0,"0.00643924
"
76,100000.0,"0.00396731
"
77,100000.0,"0.00399783
"
78,100000.0,"0.0039368
"
79,100000.0,"0.00396731
"
