,Frequency,Voltage
0,10.0,"6.10356e-005
"
1,10.0,"9.15532e-005
"
2,10.0,"9.15532e-005
"
3,10.0,"9.15532e-005
"
4,16.0,"0.000183106
"
5,16.0,"0.000183106
"
6,16.0,"0.000183106
"
7,16.0,"0.000183106
"
8,26.0,"0.000305178
"
9,26.0,"0.000305178
"
10,26.0,"0.000305178
"
11,26.0,"0.000305178
"
12,42.0,"0.000488285
"
13,42.0,"0.000488285
"
14,42.0,"0.000488285
"
15,42.0,"0.000488285
"
16,69.0,"0.000823978
"
17,69.0,"0.000823978
"
18,69.0,"0.000823978
"
19,69.0,"0.000823978
"
20,112.0,"0.00134278
"
21,112.0,"0.00134278
"
22,112.0,"0.00134278
"
23,112.0,"0.00134278
"
24,183.0,"0.00216676
"
25,183.0,"0.00228883
"
26,183.0,"0.00216676
"
27,183.0,"0.0022278
"
28,297.0,"0.00357057
"
29,297.0,"0.00357057
"
30,297.0,"0.00363161
"
31,297.0,"0.00357057
"
32,483.0,"0.00579837
"
33,483.0,"0.0058594
"
34,483.0,"0.00570682
"
35,483.0,"0.00579837
"
36,784.0,"0.00915533
"
37,784.0,"0.00924689
"
38,784.0,"0.00924689
"
39,784.0,"0.00918585
"
40,1274.0,"0.0140992
"
41,1274.0,"0.0141602
"
42,1274.0,"0.0141602
"
43,1274.0,"0.0141297
"
44,2069.0,"0.0202943
"
45,2069.0,"0.0202943
"
46,2069.0,"0.0202943
"
47,2069.0,"0.0203248
"
48,3359.0,"0.0259095
"
49,3359.0,"0.0260011
"
50,3359.0,"0.0259706
"
51,3359.0,"0.0259401
"
52,5455.0,"0.0285951
"
53,5455.0,"0.0285035
"
54,5455.0,"0.0285951
"
55,5455.0,"0.028473
"
56,8858.0,"0.0267946
"
57,8858.0,"0.0268251
"
58,8858.0,"0.0267946
"
59,8858.0,"0.0268251
"
60,14384.0,"0.0216371
"
61,14384.0,"0.021576
"
62,14384.0,"0.021576
"
63,14384.0,"0.0216066
"
64,23357.0,"0.0153809
"
65,23357.0,"0.0153504
"
66,23357.0,"0.0153199
"
67,23357.0,"0.0153199
"
68,37926.0,"0.0101319
"
69,37926.0,"0.0101319
"
70,37926.0,"0.0100709
"
71,37926.0,"0.0101014
"
72,61584.0,"0.00643924
"
73,61584.0,"0.00640872
"
74,61584.0,"0.00640872
"
75,61584.0,"0.00643924
"
76,100000.0,"0.0039368
"
77,100000.0,"0.00396731
"
78,100000.0,"0.0039368
"
79,100000.0,"0.0039368
"
