,Frequency,Voltage
0,10.0,"0.000114441
"
1,10.0,"0.000183106
"
2,10.0,"0.000185014
"
3,10.0,"0.000186921
"
4,16.0,"0.000299456
"
5,16.0,"0.000295641
"
6,16.0,"0.000293734
"
7,16.0,"0.000289919
"
8,26.0,"0.000478746
"
9,26.0,"0.000478746
"
10,26.0,"0.000480654
"
11,26.0,"0.000482561
"
12,42.0,"0.000776295
"
13,42.0,"0.000780109
"
14,42.0,"0.000778202
"
15,42.0,"0.000787739
"
16,69.0,"0.00128175
"
17,69.0,"0.00128556
"
18,69.0,"0.00126267
"
19,69.0,"0.00126267
"
20,112.0,"0.0020466
"
21,112.0,"0.00206186
"
22,112.0,"0.00206186
"
23,112.0,"0.00205041
"
24,183.0,"0.00335886
"
25,183.0,"0.00336649
"
26,183.0,"0.00331499
"
27,183.0,"0.0034218
"
28,297.0,"0.00539592
"
29,297.0,"0.00545314
"
30,297.0,"0.00535586
"
31,297.0,"0.00545695
"
32,483.0,"0.00868613
"
33,483.0,"0.00866324
"
34,483.0,"0.00872618
"
35,483.0,"0.00864416
"
36,784.0,"0.0137349
"
37,784.0,"0.0137063
"
38,784.0,"0.013712
"
39,784.0,"0.0137005
"
40,1274.0,"0.0210057
"
41,1274.0,"0.0210496
"
42,1274.0,"0.0210172
"
43,1274.0,"0.0210096
"
44,2069.0,"0.0300847
"
45,2069.0,"0.0301954
"
46,2069.0,"0.0301629
"
47,2069.0,"0.0301248
"
48,3359.0,"0.0385077
"
49,3359.0,"0.038542
"
50,3359.0,"0.0385516
"
51,3359.0,"0.0385115
"
52,5455.0,"0.0423644
"
53,5455.0,"0.0424387
"
54,5455.0,"0.0424693
"
55,5455.0,"0.0424826
"
56,8858.0,"0.039902
"
57,8858.0,"0.0397933
"
58,8858.0,"0.0398314
"
59,8858.0,"0.0398619
"
60,14384.0,"0.0321085
"
61,14384.0,"0.0320971
"
62,14384.0,"0.0320818
"
63,14384.0,"0.0320857
"
64,23357.0,"0.0228292
"
65,23357.0,"0.0227929
"
66,23357.0,"0.0227357
"
67,23357.0,"0.0227453
"
68,37926.0,"0.0150586
"
69,37926.0,"0.0150529
"
70,37926.0,"0.0150262
"
71,37926.0,"0.0150452
"
72,61584.0,"0.00960547
"
73,61584.0,"0.00957114
"
74,61584.0,"0.00956923
"
75,61584.0,"0.00957304
"
76,100000.0,"0.00593188
"
77,100000.0,"0.00594142
"
78,100000.0,"0.00589755
"
79,100000.0,"0.00592807
"
