,Frequency,Voltage
0,10.0,"1.26288e-006
"
1,10.0,"1.15485e-006
"
2,10.0,"3.27827e-007
"
3,10.0,"1.76579e-006
"
4,16.0,"1.01329e-006
"
5,16.0,"1.99304e-006
"
6,16.0,"5.17819e-007
"
7,16.0,"5.55072e-007
"
8,26.0,"3.27827e-007
"
9,26.0,"5.43896e-007
"
10,26.0,"5.21544e-007
"
11,26.0,"1.01701e-006
"
12,42.0,"1.50502e-006
"
13,42.0,"4.65663e-007
"
14,42.0,"2.86849e-007
"
15,42.0,"1.11759e-006
"
16,69.0,"1.75834e-006
"
17,69.0,"1.22935e-006
"
18,69.0,"7.2271e-007
"
19,69.0,"1.30758e-006
"
20,112.0,"4.39586e-007
"
21,112.0,"7.2271e-007
"
22,112.0,"9.53682e-007
"
23,112.0,"5.36445e-007
"
24,183.0,"1.00584e-006
"
25,183.0,"5.40171e-007
"
26,183.0,"1.42679e-006
"
27,183.0,"7.45062e-007
"
28,297.0,"6.39635e-006
"
29,297.0,"5.03662e-006
"
30,297.0,"4.77585e-006
"
31,297.0,"5.74443e-006
"
32,483.0,"3.06965e-006
"
33,483.0,"3.53904e-006
"
34,483.0,"2.78281e-006
"
35,483.0,"2.88339e-006
"
36,784.0,"1.77325e-006
"
37,784.0,"1.69874e-006
"
38,784.0,"1.60933e-006
"
39,784.0,"1.68384e-006
"
40,1274.0,"1.04681e-006
"
41,1274.0,"1.33739e-006
"
42,1274.0,"1.32621e-006
"
43,1274.0,"1.1921e-006
"
44,2069.0,"8.19568e-007
"
45,2069.0,"5.886e-007
"
46,2069.0,"8.19568e-007
"
47,2069.0,"7.18985e-007
"
48,3359.0,"4.2841e-007
"
49,3359.0,"4.32135e-007
"
50,3359.0,"3.79981e-007
"
51,3359.0,"5.02918e-007
"
52,5455.0,"3.5763e-007
"
53,5455.0,"2.75673e-007
"
54,5455.0,"3.09201e-007
"
55,5455.0,"2.49596e-007
"
56,8858.0,"2.83124e-007
"
57,8858.0,"2.49596e-007
"
58,8858.0,"6.33304e-008
"
59,8858.0,"3.16651e-007
"
60,14384.0,"3.16651e-007
"
61,14384.0,"2.45871e-007
"
62,14384.0,"2.16068e-007
"
63,14384.0,"3.05476e-007
"
64,23357.0,"2.3842e-007
"
65,23357.0,"1.8254e-007
"
66,23357.0,"1.86265e-007
"
67,23357.0,"3.09201e-007
"
68,37926.0,"1.56463e-007
"
69,37926.0,"1.67639e-007
"
70,37926.0,"1.34111e-007
"
71,37926.0,"1.8254e-007
"
72,61584.0,"1.41562e-007
"
73,61584.0,"1.30386e-007
"
74,61584.0,"1.11759e-007
"
75,61584.0,"1.67639e-007
"
76,100000.0,"5.58796e-008
"
77,100000.0,"8.56821e-008
"
78,100000.0,"6.33304e-008
"
79,100000.0,"8.94074e-008
"
