,Frequency,Voltage
0,10.0,"0.000171662
"
1,10.0,"0.000167848
"
2,10.0,"0.000164033
"
3,10.0,"0.000175477
"
4,10.0,"0.000175477
"
5,10.0,"0.000175477
"
6,10.0,"0.000164033
"
7,10.0,"0.000164033
"
8,10.0,"0.000164033
"
9,10.0,"0.000175477
"
10,2050.0,"0.0269014
"
11,2050.0,"0.027649
"
12,2050.0,"0.0276834
"
13,2050.0,"0.0275499
"
14,2050.0,"0.0277101
"
15,2050.0,"0.0278207
"
16,2050.0,"0.0277406
"
17,2050.0,"0.0276643
"
18,2050.0,"0.0277368
"
19,2050.0,"0.0277253
"
20,4091.0,"0.0372393
"
21,4091.0,"0.0376666
"
22,4091.0,"0.0377162
"
23,4091.0,"0.0378458
"
24,4091.0,"0.0377085
"
25,4091.0,"0.0377238
"
26,4091.0,"0.0376246
"
27,4091.0,"0.0377924
"
28,4091.0,"0.0378382
"
29,4091.0,"0.037678
"
30,6131.0,"0.0389369
"
31,6131.0,"0.0391428
"
32,6131.0,"0.039078
"
33,6131.0,"0.0391276
"
34,6131.0,"0.0391314
"
35,6131.0,"0.0391238
"
36,6131.0,"0.0391886
"
37,6131.0,"0.0391161
"
38,6131.0,"0.0391314
"
39,6131.0,"0.0392649
"
40,8172.0,"0.0377543
"
41,8172.0,"0.0375903
"
42,8172.0,"0.0375979
"
43,8172.0,"0.0375826
"
44,8172.0,"0.0375178
"
45,8172.0,"0.0374911
"
46,8172.0,"0.0377619
"
47,8172.0,"0.0375025
"
48,8172.0,"0.0376284
"
49,8172.0,"0.0376818
"
50,10213.0,"0.0352252
"
51,10213.0,"0.0351145
"
52,10213.0,"0.0348971
"
53,10213.0,"0.0351183
"
54,10213.0,"0.0350802
"
55,10213.0,"0.0351222
"
56,10213.0,"0.0350688
"
57,10213.0,"0.035023
"
58,10213.0,"0.0350764
"
59,10213.0,"0.0353091
"
60,12253.0,"0.0324824
"
61,12253.0,"0.0322115
"
62,12253.0,"0.0324175
"
63,12253.0,"0.0322726
"
64,12253.0,"0.0324328
"
65,12253.0,"0.032387
"
66,12253.0,"0.0322421
"
67,12253.0,"0.0323489
"
68,12253.0,"0.0323489
"
69,12253.0,"0.0322878
"
70,14294.0,"0.0298082
"
71,14294.0,"0.029812
"
72,14294.0,"0.0298043
"
73,14294.0,"0.0297281
"
74,14294.0,"0.0296975
"
75,14294.0,"0.0298845
"
76,14294.0,"0.0297128
"
77,14294.0,"0.0298501
"
78,14294.0,"0.0297319
"
79,14294.0,"0.029709
"
80,16334.0,"0.0274392
"
81,16334.0,"0.0273668
"
82,16334.0,"0.0274125
"
83,16334.0,"0.0274545
"
84,16334.0,"0.027382
"
85,16334.0,"0.0273019
"
86,16334.0,"0.0273858
"
87,16334.0,"0.0274163
"
88,16334.0,"0.0273248
"
89,16334.0,"0.027382
"
90,18375.0,"0.0253869
"
91,18375.0,"0.0253259
"
92,18375.0,"0.0252954
"
93,18375.0,"0.0252839
"
94,18375.0,"0.0252725
"
95,18375.0,"0.0252687
"
96,18375.0,"0.0252343
"
97,18375.0,"0.0252992
"
98,18375.0,"0.0253373
"
99,18375.0,"0.0252153
"
100,20416.0,"0.0234491
"
101,20416.0,"0.023369
"
102,20416.0,"0.0234529
"
103,20416.0,"0.0233995
"
104,20416.0,"0.0234033
"
105,20416.0,"0.0233918
"
106,20416.0,"0.0234529
"
107,20416.0,"0.0234452
"
108,20416.0,"0.0233995
"
109,20416.0,"0.0233957
"
110,22456.0,"0.021824
"
111,22456.0,"0.0217592
"
112,22456.0,"0.0217859
"
113,22456.0,"0.0217401
"
114,22456.0,"0.0218164
"
115,22456.0,"0.0217324
"
116,22456.0,"0.0217057
"
117,22456.0,"0.021763
"
118,22456.0,"0.0217553
"
119,22456.0,"0.0217248
"
120,24497.0,"0.0204126
"
121,24497.0,"0.020279
"
122,24497.0,"0.0203592
"
123,24497.0,"0.0202981
"
124,24497.0,"0.020279
"
125,24497.0,"0.0202485
"
126,24497.0,"0.0202676
"
127,24497.0,"0.02026
"
128,24497.0,"0.020279
"
129,24497.0,"0.0202752
"
130,26537.0,"0.0189477
"
131,26537.0,"0.0190049
"
132,26537.0,"0.0189401
"
133,26537.0,"0.0190812
"
134,26537.0,"0.019066
"
135,26537.0,"0.0189744
"
