,Frequency,Voltage
0,10.0,"9.15532e-005
"
1,10.0,"0.000183106
"
2,10.0,"0.000183106
"
3,10.0,"0.000183106
"
4,16.0,"0.00027466
"
5,16.0,"0.00027466
"
6,16.0,"0.00027466
"
7,16.0,"0.00027466
"
8,26.0,"0.000457766
"
9,26.0,"0.000457766
"
10,26.0,"0.000457766
"
11,26.0,"0.000457766
"
12,42.0,"0.000762943
"
13,42.0,"0.000762943
"
14,42.0,"0.000762943
"
15,42.0,"0.000762943
"
16,69.0,"0.00125123
"
17,69.0,"0.00122071
"
18,69.0,"0.00122071
"
19,69.0,"0.00119019
"
20,112.0,"0.00201418
"
21,112.0,"0.00195314
"
22,112.0,"0.00195314
"
23,112.0,"0.00201418
"
24,183.0,"0.0032654
"
25,183.0,"0.00335695
"
26,183.0,"0.00329591
"
27,183.0,"0.00335695
"
28,297.0,"0.00531009
"
29,297.0,"0.00543216
"
30,297.0,"0.00531009
"
31,297.0,"0.00534061
"
32,483.0,"0.00860602
"
33,483.0,"0.00866705
"
34,483.0,"0.00869757
"
35,483.0,"0.00863653
"
36,784.0,"0.0136719
"
37,784.0,"0.013733
"
38,784.0,"0.013733
"
39,784.0,"0.0137635
"
40,1274.0,"0.0207216
"
41,1274.0,"0.020691
"
42,1274.0,"0.020691
"
43,1274.0,"0.0208741
"
44,2069.0,"0.030182
"
45,2069.0,"0.0303041
"
46,2069.0,"0.0303041
"
47,2069.0,"0.0303041
"
48,3359.0,"0.0386965
"
49,3359.0,"0.0387576
"
50,3359.0,"0.038727
"
51,3359.0,"0.038727
"
52,5455.0,"0.0426028
"
53,5455.0,"0.0426028
"
54,5455.0,"0.0424197
"
55,5455.0,"0.0419314
"
56,8858.0,"0.0396731
"
57,8858.0,"0.0400088
"
58,8858.0,"0.0400088
"
59,8858.0,"0.0400393
"
60,14384.0,"0.0322573
"
61,14384.0,"0.0322573
"
62,14384.0,"0.0321963
"
63,14384.0,"0.0322268
"
64,23357.0,"0.0229188
"
65,23357.0,"0.0228883
"
66,23357.0,"0.0228883
"
67,23357.0,"0.0229188
"
68,37926.0,"0.0151368
"
69,37926.0,"0.0150757
"
70,37926.0,"0.0151063
"
71,37926.0,"0.0150452
"
72,61584.0,"0.00952154
"
73,61584.0,"0.00949103
"
74,61584.0,"0.00942999
"
75,61584.0,"0.00946051
"
76,100000.0,"0.0058594
"
77,100000.0,"0.00582889
"
78,100000.0,"0.00588992
"
79,100000.0,"0.00592044
"
