,Frequency,Voltage
0,10.0,"0.048218
"
1,10.0,"0.0469363
"
2,10.0,"0.0479739
"
3,10.0,"0.046509
"
4,16.0,"0.0443118
"
5,16.0,"0.048218
"
6,16.0,"0.0441897
"
7,16.0,"0.0452883
"
8,26.0,"0.0453494
"
9,26.0,"0.046509
"
10,26.0,"0.0460207
"
11,26.0,"0.0454714
"
12,42.0,"0.0498049
"
13,42.0,"0.0449221
"
14,42.0,"0.0494387
"
15,42.0,"0.0466311
"
16,69.0,"0.0581057
"
17,69.0,"0.0449221
"
18,69.0,"0.0333865
"
19,69.0,"0.0535281
"
20,112.0,"0.0486453
"
21,112.0,"0.0430911
"
22,112.0,"0.0496829
"
23,112.0,"0.0513308
"
24,183.0,"0.0841069
"
25,183.0,"0.0949101
"
26,183.0,"0.0385134
"
27,183.0,"0.110962
"
28,297.0,"0.0724492
"
29,297.0,"0.0455935
"
30,297.0,"0.0418093
"
31,297.0,"0.0676274
"
32,483.0,"0.0444338
"
33,483.0,"0.0382693
"
34,483.0,"0.0405276
"
35,483.0,"0.0435793
"
36,784.0,"0.0339968
"
37,784.0,"0.0351565
"
38,784.0,"0.0386965
"
39,784.0,"0.0391238
"
40,1274.0,"0.0218507
"
41,1274.0,"0.0236818
"
42,1274.0,"0.0243531
"
43,1274.0,"0.0233155
"
44,2069.0,"0.0150147
"
45,2069.0,"0.0158082
"
46,2069.0,"0.0163575
"
47,2069.0,"0.0142823
"
48,3359.0,"0.0123292
"
49,3359.0,"0.0117798
"
50,3359.0,"0.0130616
"
51,3359.0,"0.0112916
"
52,5455.0,"0.00860602
"
53,5455.0,"0.00720218
"
54,5455.0,"0.00854498
"
55,5455.0,"0.0100098
"
56,8858.0,"0.00579837
"
57,8858.0,"0.00598148
"
58,8858.0,"0.00610355
"
59,8858.0,"0.00616458
"
60,14384.0,"0.00421146
"
61,14384.0,"0.00476077
"
62,14384.0,"0.00354005
"
63,14384.0,"0.00457767
"
64,23357.0,"0.00390628
"
65,23357.0,"0.00433353
"
66,23357.0,"0.0027466
"
67,23357.0,"0.00256349
"
68,37926.0,"0.00195314
"
69,37926.0,"0.000915531
"
70,37926.0,"0.00115968
"
71,37926.0,"0.00115968
"
72,61584.0,"0.00097657
"
73,61584.0,"0.00115968
"
74,61584.0,"0.000732426
"
75,61584.0,"0.000732426
"
76,100000.0,"0.00238039
"
77,100000.0,"0.00262453
"
78,100000.0,"0.00305177
"
79,100000.0,"0.00158692
"
