,Frequency,Voltage
0,10.0,"0.000122071
"
1,10.0,"0.000122071
"
2,10.0,"0.000122071
"
3,10.0,"0.000122071
"
4,16.0,"0.000244142
"
5,16.0,"0.000244142
"
6,16.0,"0.000244142
"
7,16.0,"0.000244142
"
8,26.0,"0.000427248
"
9,26.0,"0.000427248
"
10,26.0,"0.000427248
"
11,26.0,"0.000427248
"
12,42.0,"0.000732426
"
13,42.0,"0.000488285
"
14,42.0,"0.000732426
"
15,42.0,"0.000610355
"
16,69.0,"0.00115968
"
17,69.0,"0.000793461
"
18,69.0,"0.00115968
"
19,69.0,"0.00134278
"
20,112.0,"0.00170899
"
21,112.0,"0.00158692
"
22,112.0,"0.00164796
"
23,112.0,"0.00170899
"
24,183.0,"0.00683597
"
25,183.0,"0.00183106
"
26,183.0,"0.00732425
"
27,183.0,"0.00170899
"
28,297.0,"0.00305177
"
29,297.0,"0.00518802
"
30,297.0,"0.00738528
"
31,297.0,"0.00152589
"
32,483.0,"0.00836188
"
33,483.0,"0.00610355
"
34,483.0,"0.00769046
"
35,483.0,"0.00622562
"
36,784.0,"0.00952154
"
37,784.0,"0.00897223
"
38,784.0,"0.00891119
"
39,784.0,"0.00939947
"
40,1274.0,"0.0112305
"
41,1274.0,"0.0106812
"
42,1274.0,"0.010376
"
43,1274.0,"0.0092774
"
44,2069.0,"0.0101929
"
45,2069.0,"0.0109254
"
46,2069.0,"0.0126343
"
47,2069.0,"0.0101319
"
48,3359.0,"0.0116578
"
49,3359.0,"0.0101319
"
50,3359.0,"0.00994879
"
51,3359.0,"0.00885016
"
52,5455.0,"0.00695804
"
53,5455.0,"0.00799567
"
54,5455.0,"0.00769046
"
55,5455.0,"0.00640872
"
56,8858.0,"0.00561526
"
57,8858.0,"0.00531009
"
58,8858.0,"0.00531009
"
59,8858.0,"0.00476077
"
60,14384.0,"0.00347902
"
61,14384.0,"0.00305177
"
62,14384.0,"0.00219728
"
63,14384.0,"0.0027466
"
64,23357.0,"0.00201418
"
65,23357.0,"0.00109864
"
66,23357.0,"0.0018921
"
67,23357.0,"0.00183106
"
68,37926.0,"0.000305178
"
69,37926.0,"0.000244142
"
70,37926.0,"0.000244142
"
71,37926.0,"0.000122071
"
72,61584.0,"0.000183106
"
73,61584.0,"0.000427248
"
74,61584.0,"0.000183106
"
75,61584.0,"0.000366213
"
76,100000.0,"0.000366213
"
77,100000.0,"0.000183106
"
78,100000.0,"6.10356e-005
"
79,100000.0,"0.000183106
"
