,Frequency,Voltage
0,10.0,"0.000106812
"
1,10.0,"0.000186921
"
2,10.0,"0.000185014
"
3,10.0,"0.000185014
"
4,16.0,"0.000289919
"
5,16.0,"0.000295641
"
6,16.0,"0.000299456
"
7,16.0,"0.000295641
"
8,26.0,"0.000474932
"
9,26.0,"0.000467302
"
10,26.0,"0.000478746
"
11,26.0,"0.000480654
"
12,42.0,"0.000757221
"
13,42.0,"0.000766758
"
14,42.0,"0.000764851
"
15,42.0,"0.00077248
"
16,69.0,"0.00124741
"
17,69.0,"0.00125886
"
18,69.0,"0.00127793
"
19,69.0,"0.00125504
"
20,112.0,"0.00203897
"
21,112.0,"0.00204469
"
22,112.0,"0.00204851
"
23,112.0,"0.00205232
"
24,183.0,"0.00329019
"
25,183.0,"0.00336267
"
26,183.0,"0.00331308
"
27,183.0,"0.00331499
"
28,297.0,"0.00537112
"
29,297.0,"0.00540546
"
30,297.0,"0.00533298
"
31,297.0,"0.00540546
"
32,483.0,"0.00868803
"
33,483.0,"0.00863272
"
34,483.0,"0.0087052
"
35,483.0,"0.00864989
"
36,784.0,"0.0137044
"
37,784.0,"0.0137864
"
38,784.0,"0.0137482
"
39,784.0,"0.0137559
"
40,1274.0,"0.0210496
"
41,1274.0,"0.0211011
"
42,1274.0,"0.0210801
"
43,1274.0,"0.0211049
"
44,2069.0,"0.0302163
"
45,2069.0,"0.0303193
"
46,2069.0,"0.0303155
"
47,2069.0,"0.0303556
"
48,3359.0,"0.0386965
"
49,3359.0,"0.0387461
"
50,3359.0,"0.0388014
"
51,3359.0,"0.0388052
"
52,5455.0,"0.0425684
"
53,5455.0,"0.0426714
"
54,5455.0,"0.0426371
"
55,5455.0,"0.0426848
"
56,8858.0,"0.0399916
"
57,8858.0,"0.0399668
"
58,8858.0,"0.0400031
"
59,8858.0,"0.0399191
"
60,14384.0,"0.0322402
"
61,14384.0,"0.0322363
"
62,14384.0,"0.0321906
"
63,14384.0,"0.0322192
"
64,23357.0,"0.0229341
"
65,23357.0,"0.0228807
"
66,23357.0,"0.0229074
"
67,23357.0,"0.0229112
"
68,37926.0,"0.0151559
"
69,37926.0,"0.0150891
"
70,37926.0,"0.0150815
"
71,37926.0,"0.0151196
"
72,61584.0,"0.00965697
"
73,61584.0,"0.00959021
"
74,61584.0,"0.0096131
"
75,61584.0,"0.009615
"
76,100000.0,"0.00594524
"
77,100000.0,"0.00595096
"
78,100000.0,"0.00594714
"
79,100000.0,"0.00594142
"
