,Frequency,Voltage
0,30.0,"9.15532e-005
"
1,30.0,"0.000518803
"
2,30.0,"0.000526432
"
3,30.0,"0.000526432
"
4,30.0,"0.000526432
"
5,30.0,"0.000534061
"
6,30.0,"0.000537876
"
7,30.0,"0.000526432
"
8,30.0,"0.000526432
"
9,30.0,"0.000526432
"
10,2070.0,"0.0269815
"
11,2070.0,"0.0289994
"
12,2070.0,"0.0290414
"
13,2070.0,"0.029194
"
14,2070.0,"0.0290681
"
15,2070.0,"0.0290643
"
16,2070.0,"0.0290529
"
17,2070.0,"0.0291635
"
18,2070.0,"0.0291406
"
19,2070.0,"0.0290338
"
20,4110.0,"0.0387385
"
21,4110.0,"0.0393488
"
22,4110.0,"0.0394633
"
23,4110.0,"0.0394289
"
24,4110.0,"0.0393984
"
25,4110.0,"0.0394785
"
26,4110.0,"0.0393908
"
27,4110.0,"0.0394328
"
28,4110.0,"0.0394557
"
29,4110.0,"0.0393298
"
30,6150.0,"0.0406458
"
31,6150.0,"0.0408823
"
32,6150.0,"0.0408785
"
33,6150.0,"0.040993
"
34,6150.0,"0.0409663
"
35,6150.0,"0.0409663
"
36,6150.0,"0.0407183
"
37,6150.0,"0.0408022
"
38,6150.0,"0.0407946
"
39,6150.0,"0.0409129
"
40,8190.0,"0.039223
"
41,8190.0,"0.0393221
"
42,8190.0,"0.0393031
"
43,8190.0,"0.0392077
"
44,8190.0,"0.0391543
"
45,8190.0,"0.0393908
"
46,8190.0,"0.0393565
"
47,8190.0,"0.0391772
"
48,8190.0,"0.0392039
"
49,8190.0,"0.0393298
"
50,10231.0,"0.0367205
"
51,10231.0,"0.0367548
"
52,10231.0,"0.0366557
"
53,10231.0,"0.0365908
"
54,10231.0,"0.036629
"
55,10231.0,"0.0365717
"
56,10231.0,"0.0365908
"
57,10231.0,"0.036629
"
58,10231.0,"0.036545
"
59,10231.0,"0.0365603
"
60,12271.0,"0.033932
"
61,12271.0,"0.0336878
"
62,12271.0,"0.0338862
"
63,12271.0,"0.0338175
"
64,12271.0,"0.0337908
"
65,12271.0,"0.0337298
"
66,12271.0,"0.0338366
"
67,12271.0,"0.0336878
"
68,12271.0,"0.0337985
"
69,12271.0,"0.0337069
"
70,14311.0,"0.0312043
"
71,14311.0,"0.0310022
"
72,14311.0,"0.0309831
"
73,14311.0,"0.0311395
"
74,14311.0,"0.0310289
"
75,14311.0,"0.0312387
"
76,14311.0,"0.0311738
"
77,14311.0,"0.0311128
"
78,14311.0,"0.0309335
"
79,14311.0,"0.0310289
"
80,16351.0,"0.0287629
"
81,16351.0,"0.0285569
"
82,16351.0,"0.0285074
"
83,16351.0,"0.0285531
"
84,16351.0,"0.0285455
"
85,16351.0,"0.0284616
"
86,16351.0,"0.0284883
"
87,16351.0,"0.0285226
"
88,16351.0,"0.0286371
"
89,16351.0,"0.0285989
"
90,18391.0,"0.0265275
"
91,18391.0,"0.0263139
"
92,18391.0,"0.0264436
"
93,18391.0,"0.026352
"
94,18391.0,"0.0263711
"
95,18391.0,"0.0263902
"
96,18391.0,"0.0263711
"
97,18391.0,"0.0262719
"
98,18391.0,"0.0263406
"
99,18391.0,"0.0264055
"
100,20432.0,"0.0245248
"
101,20432.0,"0.0244638
"
102,20432.0,"0.0244447
"
103,20432.0,"0.0244638
"
104,20432.0,"0.0243417
"
105,20432.0,"0.0244561
"
106,20432.0,"0.0244027
"
107,20432.0,"0.0244981
"
108,20432.0,"0.0244561
"
109,20432.0,"0.0243722
"
110,22472.0,"0.0228044
"
111,22472.0,"0.0227166
"
112,22472.0,"0.022648
"
113,22472.0,"0.0227624
"
114,22472.0,"0.0226785
"
115,22472.0,"0.0227433
"
116,22472.0,"0.0227357
"
117,22472.0,"0.0227853
"
118,22472.0,"0.0227395
"
119,22472.0,"0.0226022
"
120,24512.0,"0.0211755
"
121,24512.0,"0.0212556
"
122,24512.0,"0.0211259
"
123,24512.0,"0.0211679
"
124,24512.0,"0.0212289
"
