,Frequency,Voltage
0,30.0,"0.0524104
"
1,30.0,"0.0526659
"
2,30.0,"0.0525019
"
3,30.0,"0.0523837
"
4,30.0,"0.0525744
"
5,30.0,"0.0525782
"
6,30.0,"0.0527079
"
7,30.0,"0.0526812
"
8,30.0,"0.0527117
"
9,30.0,"0.0528338
"
10,2070.0,"0.0520899
"
11,2070.0,"0.0515521
"
12,2070.0,"0.0519106
"
13,2070.0,"0.0517085
"
14,2070.0,"0.0519717
"
15,2070.0,"0.0515635
"
16,2070.0,"0.0518649
"
17,2070.0,"0.0518458
"
18,2070.0,"0.0516894
"
19,2070.0,"0.0514948
"
20,4110.0,"0.051739
"
21,4110.0,"0.0516703
"
22,4110.0,"0.0517428
"
23,4110.0,"0.0516627
"
24,4110.0,"0.051636
"
25,4110.0,"0.0516894
"
26,4110.0,"0.051739
"
27,4110.0,"0.0516284
"
28,4110.0,"0.0517046
"
29,4110.0,"0.0515063
"
30,6150.0,"0.0516627
"
31,6150.0,"0.0516779
"
32,6150.0,"0.0516779
"
33,6150.0,"0.0518649
"
34,6150.0,"0.0516894
"
35,6150.0,"0.0517695
"
36,6150.0,"0.0517542
"
37,6150.0,"0.0515978
"
38,6150.0,"0.0517504
"
39,6150.0,"0.0517313
"
40,8190.0,"0.0517695
"
41,8190.0,"0.0516856
"
42,8190.0,"0.0516551
"
43,8190.0,"0.0516779
"
44,8190.0,"0.0516436
"
45,8190.0,"0.0515978
"
46,8190.0,"0.0517581
"
47,8190.0,"0.0516932
"
48,8190.0,"0.0515025
"
49,8190.0,"0.0515902
"
50,10231.0,"0.0515597
"
51,10231.0,"0.0515978
"
52,10231.0,"0.0515406
"
53,10231.0,"0.0517581
"
54,10231.0,"0.0516207
"
55,10231.0,"0.0519183
"
56,10231.0,"0.0515749
"
57,10231.0,"0.0516856
"
58,10231.0,"0.0517581
"
59,10231.0,"0.0518801
"
60,12271.0,"0.0516322
"
61,12271.0,"0.0516512
"
62,12271.0,"0.0517199
"
63,12271.0,"0.0516589
"
64,12271.0,"0.0515864
"
65,12271.0,"0.0515788
"
66,12271.0,"0.0516856
"
67,12271.0,"0.0515788
"
68,12271.0,"0.0516512
"
69,12271.0,"0.0515597
"
70,14311.0,"0.0516398
"
71,14311.0,"0.0518839
"
72,14311.0,"0.0515292
"
73,14311.0,"0.0516474
"
74,14311.0,"0.0517581
"
75,14311.0,"0.0517428
"
76,14311.0,"0.0516512
"
77,14311.0,"0.0517046
"
78,14311.0,"0.051636
"
79,14311.0,"0.0515711
"
80,16351.0,"0.0516894
"
81,16351.0,"0.0517161
"
82,16351.0,"0.0516741
"
83,16351.0,"0.0515826
"
84,16351.0,"0.0516322
"
85,16351.0,"0.0516016
"
86,16351.0,"0.0514834
"
87,16351.0,"0.0516779
"
88,16351.0,"0.0516169
"
89,16351.0,"0.0516703
"
