,Frequency,Voltage
0,30.0,"0.0521967
"
1,30.0,"0.0524256
"
2,30.0,"0.0524638
"
3,30.0,"0.0526202
"
4,30.0,"0.0522883
"
5,30.0,"0.0523684
"
6,30.0,"0.0522654
"
7,30.0,"0.0522082
"
8,30.0,"0.0519793
"
9,30.0,"0.0523646
"
10,2070.0,"0.0516741
"
11,2070.0,"0.0516322
"
12,2070.0,"0.0516779
"
13,2070.0,"0.0516016
"
14,2070.0,"0.0517466
"
15,2070.0,"0.0517466
"
16,2070.0,"0.0517886
"
17,2070.0,"0.0516627
"
18,2070.0,"0.0517313
"
19,2070.0,"0.0515521
"
20,4110.0,"0.0517504
"
21,4110.0,"0.0515482
"
22,4110.0,"0.0517657
"
23,4110.0,"0.051739
"
24,4110.0,"0.0516551
"
25,4110.0,"0.0517237
"
26,4110.0,"0.0518649
"
27,4110.0,"0.0516284
"
28,4110.0,"0.0515521
"
29,4110.0,"0.0515902
"
30,6150.0,"0.0516551
"
31,6150.0,"0.0517123
"
32,6150.0,"0.0518
"
33,6150.0,"0.0517352
"
34,6150.0,"0.0518496
"
35,6150.0,"0.0517199
"
36,6150.0,"0.0516512
"
37,6150.0,"0.0517352
"
38,6150.0,"0.0517352
"
39,6150.0,"0.0515215
"
40,8190.0,"0.0517046
"
41,8190.0,"0.0518725
"
42,8190.0,"0.0517275
"
43,8190.0,"0.0518458
"
44,8190.0,"0.0516589
"
45,8190.0,"0.0517275
"
46,8190.0,"0.0518038
"
47,8190.0,"0.0517199
"
48,8190.0,"0.051636
"
49,8190.0,"0.051697
"
50,10231.0,"0.0517275
"
51,10231.0,"0.0516512
"
52,10231.0,"0.0515444
"
53,10231.0,"0.0516779
"
54,10231.0,"0.0517313
"
55,10231.0,"0.0516512
"
56,10231.0,"0.0516627
"
57,10231.0,"0.0517428
"
58,10231.0,"0.0517809
"
59,10231.0,"0.0517046
"
60,12271.0,"0.0517542
"
61,12271.0,"0.0516627
"
62,12271.0,"0.0517504
"
63,12271.0,"0.0516932
"
64,12271.0,"0.0517962
"
65,12271.0,"0.0516398
"
66,12271.0,"0.051739
"
67,12271.0,"0.0517237
"
68,12271.0,"0.051533
"
69,12271.0,"0.0517504
"
70,14311.0,"0.0514987
"
71,14311.0,"0.0515673
"
72,14311.0,"0.0517275
"
73,14311.0,"0.0518115
"
74,14311.0,"0.0515864
"
75,14311.0,"0.0516703
"
76,14311.0,"0.0517313
"
77,14311.0,"0.0515215
"
78,14311.0,"0.0514872
"
79,14311.0,"0.0515521
"
80,16351.0,"0.0515673
"
81,16351.0,"0.0514834
"
82,16351.0,"0.0517008
"
83,16351.0,"0.0515978
"
84,16351.0,"0.0515635
"
