t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681331473.0584915,442.3,0.0,0.1,0.001204235,6.523243e-06,0.001200583,359.9625,-0.0986714,-0.00166322,-0.0145951,-179.034
1681331477.1311548,442.3,0.05,0.1,0.001204235,-7.850687e-07,0.001204235,0.3113085,-0.0986714,-0.00165559,-0.0145951,-179.04
1681331481.1734202,442.3,0.1,0.1,0.001200579,-7.850687e-07,0.001204253,0.1369224,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331485.2445884,442.3,0.15,0.1,0.001207891,2.869087e-06,0.001204253,0.1365068,-0.0986638,-0.00164796,-0.0146027,-179.046
1681331489.3147888,442.3,0.2,0.1,0.001200579,-7.850687e-07,0.001204239,359.9625,-0.0986638,-0.00164796,-0.0146027,-179.046
1681331493.3710496,442.3,0.25,0.1,0.001200579,2.869087e-06,0.001204235,359.9625,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331497.4236777,442.3,0.3,0.1,0.001204235,-4.439225e-06,0.001200583,0.1369224,-0.0986638,-0.00164796,-0.0146027,-179.046
1681331501.4932983,442.3,0.35,0.1,0.001204235,2.869087e-06,0.00120058,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681331505.5614161,442.3,0.4,0.1,0.001204235,2.869087e-06,0.001204235,359.9625,-0.0986638,-0.00164796,-0.0146027,-179.046
1681331509.5913837,442.3,0.45,0.1,0.001204235,-7.850687e-07,0.001204239,0.1369224,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331513.6679115,442.3,0.5,0.1,0.001204235,6.523243e-06,0.001204239,0.1365068,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331517.7198179,442.3,0.55,0.1,0.001204235,2.869087e-06,0.001200583,359.9626,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331521.789613,442.3,0.6,0.1,0.001204235,2.869087e-06,0.00120058,0.1365068,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331525.8512542,442.3,0.65,0.1,0.001204235,2.869087e-06,0.001207894,0.1365068,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331529.9117887,442.3,0.7,0.1,0.001207891,2.869087e-06,0.001204239,0.1360936,-0.0986714,-0.00164796,-0.0145951,-179.046
1681331533.9810834,442.3,0.75,0.1,0.001200579,-7.850687e-07,0.001200583,359.9625,-0.0986714,-0.00164796,-0.0145951,-179.046
