t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1708996254.6115239, 3.2, -1.386241e-06, 3.497142e-08, 1.386391e-06, 179.1587, 0, 0, 0, +7.573323E-05, -1.600734E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1708996261.096786, -3.2, -1.400864e-06, 2.03548e-08, 1.401301e-06, 178.8687, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, 0.0, -0.00283171, 90.0
1708996267.5655725, 3.2, -1.393553e-06, 2.766311e-08, 1.393827e-06, 179.1587, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, 0.0, -0.00283195, 0.0
1708996274.0211048, -3.2, -1.386241e-06, 3.497142e-08, 1.393827e-06, 178.8687, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1708996280.4996772, 3.2, -1.393553e-06, 2.03548e-08, 1.401138e-06, 178.8628, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1708996286.998474, -3.2, -1.400864e-06, 3.497142e-08, 1.393992e-06, 178.8687, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, 0.0, -0.00283171, 90.0
1708996293.4746225, 3.2, -1.393553e-06, 2.766311e-08, 1.393827e-06, 178.8628, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, -2.3842e-07, -0.00283171, -45.0
1708996299.9426253, -3.2, -1.393553e-06, 3.497142e-08, 1.386517e-06, 179.1631, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, 0.0, -0.00283195, 0.0
1708996306.4180233, 3.2, -1.393553e-06, 3.497142e-08, 1.386517e-06, 178.8568, 0, 0, 0, +7.573323E-05, -1.600734E-10, 0.0, 0.0, -0.00283195, 0.0
1708996312.8862915, -3.2, -1.393553e-06, 2.03548e-08, 1.393702e-06, 178.5549, 0, 0, 0, +7.573323E-05, -1.600734E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1708996335.5298126, 3.2, -1.400864e-06, 3.497142e-08, 1.401012e-06, 178.8628, 0, 0, 0, +2.000585E-01, +2.701635E-10, 0.0, 0.0, -0.00283195, 0.0
1708996342.0254939, -3.2, -1.415488e-06, 2.766311e-08, 1.415634e-06, 178.8746, 0, 0, 0, +2.000585E-01, +2.701635E-10, 0.0, 0.0, -0.00283195, 0.0
