t,i,x,y,r,theta,xK,tc, therm
1708975844.5403178, 3.2, -1.276568e-06, -3.811169e-08, 1.34978e-06, 180.9919, 0, 0, 0
1708975851.282367, -3.2, -1.349683e-06, -6.003663e-08, 1.371819e-06, 180.6761, 0, 0, 0
1708975857.4085503, 3.2, -1.437422e-06, 1.304649e-08, 1.386242e-06, 180.3689, 0, 0, 0
1708975863.4841633, -3.2, -1.364307e-06, -5.272832e-08, 1.38644e-06, 180.9814, 0, 0, 0
1708975869.5886679, 3.2, -1.444734e-06, -4.542001e-08, 1.357198e-06, 180.9866, 0, 0, 0
1708975875.7011735, -3.2, -1.320437e-06, 1.304649e-08, 1.364335e-06, 180.367, 0, 0, 0
1708975881.79662, 3.2, -1.400864e-06, -2.349507e-08, 1.371619e-06, 181.5748, 0, 0, 0
1708975887.8917499, -3.2, -1.349683e-06, 5.738173e-09, 1.357024e-06, 181.2934, 0, 0, 0
1708975894.0043104, 3.2, -1.444734e-06, -8.878449e-09, 1.320536e-06, 181.0082, 0, 0, 0
1708975900.116849, -3.2, -1.225387e-06, -3.080338e-08, 1.349888e-06, 180.6871, 0, 0, 0
1708975906.2185729, 3.2, -1.320437e-06, 3.497142e-08, 1.371647e-06, 180.6871, 0, 0, 0
1708975912.3464594, -3.2, -1.495915e-06, -1.618676e-08, 1.364335e-06, 180.3729, 0, 0, 0
1708975918.4435701, 3.2, -1.276568e-06, -3.080338e-08, 1.34978e-06, 180.3729, 0, 0, 0
1708975924.5619895, -3.2, -1.210763e-06, -1.570137e-09, 1.342384e-06, 180.0663, 0, 0, 0
1708975930.6738777, 3.2, -1.422799e-06, 5.738173e-09, 1.37163e-06, 180.0659, 0, 0, 0
1708975936.789193, -3.2, -1.276568e-06, 1.304649e-08, 1.386253e-06, 180.367, 0, 0, 0
1708975942.9088402, 3.2, -1.408176e-06, -5.272832e-08, 1.364335e-06, 180.0653, 0, 0, 0
1708975949.0303438, -3.2, -1.495915e-06, -1.570137e-09, 1.371819e-06, 180.3689, 0, 0, 0
1708975955.156097, 3.2, -1.24001e-06, -3.080338e-08, 1.357198e-06, 180.6909, 0, 0, 0
1708975961.2979705, -3.2, -1.47398e-06, -3.080338e-08, 1.393581e-06, 180.367, 0, 0, 0
1708975967.4329395, 3.2, -1.495915e-06, -2.349507e-08, 1.386242e-06, 180.3651, 0, 0, 0
1708975973.5557115, -3.2, -1.466669e-06, -8.878449e-09, 1.401062e-06, 180.3651, 0, 0, 0
1708975979.660992, 3.2, -1.444734e-06, -5.272832e-08, 1.371714e-06, 180.669, 0, 0, 0
