t,i,x,y,r,theta,xK
1706811173.4378228,0.0,-0.0001003863,-4.439225e-07,0.0001003863,180.045,0
1706811176.5882058,0.1,-0.0001000207,-7.850687e-08,0.0001003863,179.835,0
1706811179.4048193,0.2,-0.0001003863,-7.850687e-08,0.0001003873,180.0452,0
1706811182.2147646,0.30000000000000004,-0.0001000207,-7.850687e-08,0.0001000211,180.045,0
1706811185.0266771,0.4,-9.965514e-05,-7.850687e-08,9.965517e-05,179.835,0
1706811187.856294,0.5,-0.0001000207,-7.850687e-08,0.0001000207,180.0448,0
1706811190.6689432,0.6000000000000001,-0.0001007519,2.869087e-07,0.0001003873,180.0447,0
1706811193.4882615,0.7000000000000001,-0.0001007519,-7.850687e-08,0.0001000211,180.045,0
1706811196.3037362,0.8,-0.0001000207,-4.439225e-07,0.0001000207,180.0452,0
1706811199.1299574,0.9,-9.965514e-05,-7.850687e-08,9.965517e-05,180.0452,0
1706811201.9634304,1.0,-0.0001000207,2.869087e-07,0.0001000207,180.0452,0
1706811204.8067176,1.1,-0.0001000207,-7.850687e-08,9.965555e-05,179.8356,0
1706811207.6455674,1.2000000000000002,-9.965514e-05,2.869087e-07,9.928959e-05,180.0457,0
1706811210.4689536,1.3,-9.892398e-05,-4.439225e-07,9.892498e-05,179.8338,0
1706811213.323919,1.4000000000000001,-9.85584e-05,-7.850687e-08,9.892498e-05,180.0457,0
1706811216.1705136,1.5,-9.892398e-05,-4.439225e-07,9.855843e-05,179.8332,0
1706811219.0304592,1.6,-9.892398e-05,-7.850687e-08,9.892401e-05,180.0455,0
1706811221.8987806,1.7000000000000002,-9.892398e-05,-7.850687e-08,9.928997e-05,179.8332,0
1706811224.7755392,1.8,-9.892398e-05,-7.850687e-08,9.928959e-05,179.8338,0
1706811227.628272,1.9000000000000001,-9.928956e-05,-4.439225e-07,9.892498e-05,179.8338,0
1706811230.534366,2.0,-9.892398e-05,-7.850687e-08,9.965613e-05,180.0452,0
1706811233.3945584,2.1,-0.0001000207,-4.439225e-07,0.0001000207,180.0452,0
1706811236.2638953,2.2,-9.928956e-05,2.869087e-07,9.965517e-05,180.0452,0
1706811239.1360948,2.3000000000000003,-9.965514e-05,-7.850687e-08,0.0001000217,180.2552,0
1706811242.0198016,2.4000000000000004,-0.0001000207,-7.850687e-08,0.0001000207,180.2534,0
1706811244.9221983,2.5,-0.0001003863,-7.850687e-08,0.0001003863,180.045,0
1706811247.7943604,2.6,-0.0001003863,-7.850687e-08,0.0001003863,180.045,0
1706811250.7098207,2.7,-0.0001000207,-7.850687e-08,0.0001003863,180.2534,0
1706811253.6065192,2.8000000000000003,-0.0001007519,2.869087e-07,0.0001011175,180.0445,0
1706811256.506598,2.9000000000000004,-0.0001011175,-4.439225e-07,0.0001011179,180.0445,0
1706811259.3954308,3.0,-0.0001011175,-7.850687e-08,0.0001011175,180.0443,0
1706811262.294859,3.1,-0.000101483,-4.439225e-07,0.0001011179,179.8368,0
1706811265.2042763,3.2,-0.0001011175,-7.850687e-08,0.0001003873,180.2525,0
1706811268.133721,3.2,-0.0001003863,-7.850687e-08,0.000106105,180.0979,0
1706811271.0864732,3.1,-0.0001028879,-1.570137e-08,0.000105769,179.9684,0
1706811273.9958725,3.0,-0.0001033562,-8.878449e-08,0.0001033562,180.0492,0
1706811276.9086876,2.9000000000000004,-0.0001034293,-1.618676e-07,0.0001033562,180.0492,0
1706811279.8490713,2.8000000000000003,-0.0001033562,-1.570137e-08,0.0001034293,180.0087,0
1706811282.8018675,2.7,-0.0001033562,5.738174e-08,0.0001033562,180.0087,0
1706811285.7497833,2.6,-0.0001032831,-1.570137e-08,0.0001034293,180.0087,0
1706811288.6803784,2.5,-0.0001034293,5.738174e-08,0.0001033562,179.9682,0
1706811291.6553264,2.4000000000000004,-0.0001033562,-1.570137e-08,0.0001033562,180.0493,0
1706811294.6507423,2.3000000000000003,-0.0001032831,-8.878449e-08,0.0001032831,180.0087,0
