t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI,x2,y2,r2,theta2
1681185531.4259028, 0, 0.008556293, -0.0004439224, 0.008958506, 359.4743, 0, 0, 0, 30, +3.000401E+01, +9.909189E-08, -0.490297, -0.00823981, -0.0761113, -179.04
1681185537.6123655, 0, 0.008921873, -7.850687e-05, 0.00893291, 359.4743, 0, 0, 0, 30, +3.000392E+01, +9.611946E-08, -0.490114, -0.00823981, -0.0762334, -179.04
1681185543.841685, 0, 0.008556293, -7.850687e-05, 0.00893291, 357.03, 0, 0, 0, 30, +3.000396E+01, +9.492841E-08, -0.490114, -0.00823981, -0.0762334, -179.04
1681185550.0155008, 0, 0.008921873, -0.0004439224, 0.008567802, 357.1515, 0, 0, 0, 30, +3.000382E+01, +9.426014E-08, -0.490114, -0.00823981, -0.0762334, -179.04
1681185556.1882632, 0, 0.008921873, -0.0004439224, 0.008958506, 357.03, 0, 0, 0, 30, +3.000403E+01, +9.287768E-08, -0.490114, -0.00823981, -0.0762334, -179.04
1681185562.383927, 0, 0.008556293, -0.0004439224, 0.008567802, 359.4958, 0, 0, 0, 30, +3.000399E+01, +9.250073E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185568.596024, 0, 0.008921873, -0.0004439224, 0.008567802, 357.03, 0, 0, 0, 30, +3.000380E+01, +9.168943E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185574.786553, 0, 0.008921873, -0.0004439224, 0.00893291, 357.1515, 0, 0, 0, 30, +3.000386E+01, +9.108119E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185580.9806128, 0, 0.008556293, -7.850687e-05, 0.008567802, 357.03, 0, 0, 0, 30, +3.000375E+01, +9.042802E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185587.204561, 0, 0.008921873, -0.0004439224, 0.008567802, 357.03, 0, 0, 0, 30, +3.000380E+01, +8.961942E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185593.423902, 0, 0.008556293, -7.850687e-05, 0.008567802, 357.1515, 0, 0, 0, 30, +3.000390E+01, +8.853495E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185599.606539, 0, 0.008921873, -0.0008093381, 0.008567802, 357.1515, 0, 0, 0, 30, +3.000375E+01, +8.837519E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185605.790956, 0, 0.008556293, -7.850687e-05, 0.008567802, 354.5965, 0, 0, 0, 30, +3.000385E+01, +8.755268E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185612.0134652, 0, 0.008556293, -0.0004439224, 0.008567802, 357.03, 0, 0, 0, 30, +3.000385E+01, +8.698672E-08, -0.490175, -0.00823981, -0.0762334, -179.04
1681185618.2029452, 0, 0.008556293, -7.850687e-05, 0.008594486, 357.1515, 0, 0, 0, 30, +3.000384E+01, +8.636385E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185624.408893, 0, 0.008556293, -0.0004439224, 0.00893291, 359.4958, 0, 0, 0, 30, +3.000387E+01, +8.585152E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185630.648393, 0, 0.008556293, -0.0004439224, 0.008922218, 359.4743, 0, 0, 0, 30, +3.000370E+01, +8.518158E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185636.8462267, 0, 0.008556293, -7.850687e-05, 0.008958506, 357.03, 0, 0, 0, 30, +3.000384E+01, +8.417208E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185643.0748124, 0, 0.008921873, -0.0008093381, 0.008567802, 359.4743, 0, 0, 0, 30, +3.000381E+01, +8.386977E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185649.267952, 0, 0.008921873, -0.0004439224, 0.008567802, 357.1515, 0, 0, 0, 30, +3.000368E+01, +8.355637E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185655.4840322, 0, 0.008921873, -0.0004439224, 0.00893291, 357.2635, 0, 0, 0, 30, +3.000396E+01, +8.271689E-08, -0.490175, -0.00823981, -0.0761724, -179.04
1681185663.2226446, 0, 0.00599724, -0.0004439224, 0.006013647, 356.009, 0, 0, 0, 0.0, +3.926168E-05, -3.377779E-09, 0.00599724, -0.0004439224, 0.006004098, 356.009
