t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1708628393.3055892, 0, 9.287452e-05, -7.850687e-07, 9.298055e-05, 359.5157, 0, 0, 0, 0.0, +2.739551E-05, -2.246438E-11
1708628397.9756594, 0, 9.287452e-05, 2.869087e-06, 9.291882e-05, 1.769423, 0, 0, 0, 4.0, +4.000127E+00, -6.072058E-12
1708628402.6602898, 0, 8.921873e-05, -7.850687e-07, 8.945689e-05, 359.4958, 0, 0, 0, 8.0, +7.999897E+00, -7.982824E-12
1708628407.326182, 0, 8.921873e-05, 2.869087e-06, 8.922219e-05, 359.4958, 0, 0, 0, 12.0, +1.200010E+01, -5.518946E-12
1708628412.1684608, 0, 8.921873e-05, 2.869087e-06, 8.926485e-05, 359.5157, 0, 0, 0, 16.0, +1.599984E+01, -5.317795E-12
1708628416.8543022, 0, 9.653031e-05, 2.869087e-06, 0.0001001892, 1.582644, 0, 0, 0, 20.0, +1.999973E+01, +1.118435E-12
1708628421.5400493, 0, 0.0001001861, 2.869087e-06, 0.0001002272, 359.5668, 0, 0, 0, 24.0, +2.400029E+01, +8.711181E-12
1708628426.205856, 0, 0.0001038419, -7.850687e-07, 0.0001112421, 359.6082, 0, 0, 0, 28.0, +2.800122E+01, +5.150394E-13
1708628430.8716464, 0, 0.0001184651, 6.523243e-06, 0.0001221234, 1.34585, 0, 0, 0, 32.0, +3.200218E+01, +5.191333E-12
1708628435.551448, 0, 0.0001184651, -7.850687e-07, 0.0001184677, 1.431525, 0, 0, 0, 36.0, +3.600058E+01, -1.260889E-11
1708628440.226341, 0, 0.0001184651, 2.869087e-06, 0.0001148451, 1.431525, 0, 0, 0, 40.0, +4.000199E+01, +1.680678E-11
1708628444.9087913, 0, 9.287452e-05, -7.850687e-07, 9.287784e-05, 359.5157, 0, 0, 0, 40.0, +4.000196E+01, -3.557932E-12
1708628449.5846279, 0, 9.653031e-05, -7.850687e-07, 0.0001111562, 359.6203, 0, 0, 0, 36.0, +3.600076E+01, -1.180436E-11
1708628454.23039, 0, 0.0001148093, -7.850687e-07, 0.0001148119, 1.431525, 0, 0, 0, 32.0, +3.200215E+01, -1.773779E-11
1708628458.892679, 0, 0.0001257766, -7.850687e-07, 0.0001258094, 359.6525, 0, 0, 0, 28.0, +2.800104E+01, -2.784470E-11
1708628463.555215, 0, 0.0001257766, -7.850687e-07, 0.000125855, 1.431525, 0, 0, 0, 24.0, +2.400030E+01, -2.588365E-11
1708628468.2209718, 0, 0.0001221209, 6.523243e-06, 0.0001221546, 359.6203, 0, 0, 0, 20.0, +1.999973E+01, -1.919600E-11
1708628472.8813322, 0, 0.0001184651, 2.869087e-06, 0.0001111562, 359.5668, 0, 0, 0, 16.0, +1.599982E+01, -3.066056E-11
1708628477.56925, 0, 9.653031e-05, 2.869087e-06, 9.657294e-05, 359.5157, 0, 0, 0, 12.0, +1.200010E+01, -3.010744E-11
1708628482.2327054, 0, 9.287452e-05, 6.523243e-06, 9.291882e-05, 359.534, 0, 0, 0, 8.0, +7.999891E+00, -2.472715E-11
1708628486.9072828, 0, 8.921873e-05, -7.850687e-07, 9.291882e-05, 359.5157, 0, 0, 0, 4.0, +4.000131E+00, -3.523653E-11
1708628491.5641222, 0, 9.287452e-05, 2.869087e-06, 9.657294e-05, 359.534, 0, 0, 0, 0.0, +2.397274E-05, -4.061767E-11
1708628496.2249024, 0, 9.653031e-05, 2.869087e-06, 0.0001001892, 357.3669, 0, 0, 0, 0.0, +2.467728E-05, -3.307415E-11
1708628500.8713565, 0, 9.653031e-05, -7.850687e-07, 0.0001002272, 3.866007, 0, 0, 0, -4.0, -4.000657E+00, -3.981301E-11
1708628505.5337093, 0, 9.287452e-05, -7.850687e-07, 9.310333e-05, 1.920516, 0, 0, 0, -8.0, -8.000920E+00, -3.825399E-11
1708628510.208054, 0, 8.190714e-05, -7.850687e-07, 8.191091e-05, 2.099809, 0, 0, 0, -12.0, -1.200080E+01, -4.107028E-11
1708628514.881912, 0, 9.287452e-05, 2.869087e-06, 9.653351e-05, 359.534, 0, 0, 0, -16.0, -1.600046E+01, -3.936039E-11
1708628519.5477676, 0, 0.0001001861, -7.850687e-07, 0.0001002272, 1.640364, 0, 0, 0, -20.0, -2.000042E+01, -4.383627E-11
1708628524.213589, 0, 0.0001001861, 6.523243e-06, 9.653351e-05, 1.640364, 0, 0, 0, -24.0, -2.400808E+01, -4.579763E-11
1708628528.8834798, 0, 0.0001001861, -7.850687e-07, 9.653351e-05, 1.640364, 0, 0, 0, -28.0, -2.800672E+01, -3.594060E-11
1708628533.5283532, 0, 9.653031e-05, -7.850687e-07, 0.0001002272, 359.534, 0, 0, 0, -32.0, -3.200523E+01, -4.303162E-11
1708628538.2040625, 0, 0.0001001861, -7.850687e-07, 0.0001003982, 1.640364, 0, 0, 0, -36.0, -3.600797E+01, -4.569705E-11
1708628542.886528, 0, 0.0001038419, -7.850687e-07, 0.0001002272, 359.5668, 0, 0, 0, -40.0, -4.000713E+01, -5.062556E-11
1708628547.5623481, 0, 0.0001001861, -7.850687e-07, 0.0001002272, 1.640364, 0, 0, 0, -40.0, -4.000705E+01, -3.619206E-11
1708628552.2104616, 0, 0.0001001861, 2.869087e-06, 0.0001001892, 1.702451, 0, 0, 0, -36.0, -3.600803E+01, -2.573283E-11
1708628556.867087, 0, 9.653031e-05, 2.869087e-06, 0.0001002272, 3.866007, 0, 0, 0, -32.0, -3.200523E+01, -1.582709E-11
1708628561.5329196, 0, 9.287452e-05, -7.850687e-07, 9.287784e-05, 1.841877, 0, 0, 0, -28.0, -2.800695E+01, -2.316840E-11
1708628566.1986775, 0, 9.287452e-05, -7.850687e-07, 8.561103e-05, 1.920516, 0, 0, 0, -24.0, -2.400830E+01, -1.286039E-11
1708628570.8645155, 0, 8.556294e-05, -4.439225e-06, 8.922219e-05, 359.4958, 0, 0, 0, -20.0, -2.000043E+01, -2.769387E-11
1708628575.5413866, 0, 9.287452e-05, -4.439225e-06, 9.287784e-05, 1.769423, 0, 0, 0, -16.0, -1.600043E+01, -1.467059E-11
1708628580.2192597, 0, 9.287452e-05, -7.850687e-07, 8.926485e-05, 359.5157, 0, 0, 0, -12.0, -1.200080E+01, -1.140219E-11
1708628584.9049861, 0, 0.0001111535, 2.869087e-06, 0.0001111562, 359.6082, 0, 0, 0, -8.0, -8.000910E+00, -9.843439E-12
1708628589.5974715, 0, 0.0001001861, -7.850687e-07, 0.0001002272, 359.551, 0, 0, 0, -4.0, -4.000646E+00, -6.021931E-12
