t,i,x,y,r,theta,xK
1678584116.9685404,0.0,-0.0017935140000000002,-0.0006658415,9.617040000000002e-07,200.2648,0
1678584120.9604216,0.16842105263157894,-0.0017971695000000003,-0.0006621870000000001,9.565609999999999e-07,200.3294,0
1678584124.9361463,0.3368421052631579,-0.0018008255,-0.0006658415,9.589115e-07,200.4318,0
1678584128.9096348,0.5052631578947369,-0.0018081370000000002,-0.0006658415,9.64052e-07,200.2161,0
1678584132.8677158,0.6736842105263158,-0.0018117930000000001,-0.0006694955,9.66401e-07,200.318,0
1678584136.8077974,0.8421052631578947,-0.0018081370000000002,-0.0006658415,9.646880000000001e-07,200.1786,0
1678584140.7788587,1.0105263157894737,-0.0018154490000000002,-0.0006694955,9.649045e-07,200.318,0
1678584144.7395406,1.1789473684210525,-0.0018154490000000002,-0.0006658415,9.67039e-07,200.4834,0
1678584148.6979637,1.3473684210526315,-0.0018154490000000002,-0.0006731495,9.693915e-07,200.4834,0
1678584152.6776948,1.5157894736842106,-0.0018264160000000002,-0.0006877665,9.691965e-07,200.1311,0
1678584156.638906,1.6842105263157894,-0.0018191045,-0.0006694955,9.72178e-07,200.2693,0
1678584160.6129165,1.8526315789473684,-0.0018264160000000002,-0.0006768039999999999,9.751675e-07,200.3067,0
1678584164.5483637,2.0210526315789474,-0.0018227605,-0.0006768039999999999,9.728155e-07,200.4079,0
1678584168.517149,2.1894736842105265,-0.0018227605,-0.0006731495,9.73258e-07,199.864,0
1678584172.4840932,2.357894736842105,-0.0018300719999999999,-0.0006768039999999999,9.766895e-07,200.1579,0
1678584176.4332912,2.526315789473684,-0.0018300719999999999,-0.0006841120000000001,9.75606e-07,200.1949,0
1678584180.3824744,2.694736842105263,-0.0018337275,-0.0006768039999999999,9.762410000000001e-07,200.0205,0
1678584184.3613915,2.863157894736842,-0.0018337275,-0.0006731495,9.749735e-07,200.2584,0
1678584188.3208404,3.031578947368421,-0.0018410395,-0.0006768039999999999,9.80751e-07,200.2584,0
1678584192.290147,3.2,-0.0018373835000000001,-0.0006768039999999999,9.784055e-07,200.1845,0
1678584196.272654,3.2,-0.0018410395,-0.000680458,9.777785000000001e-07,200.121,0
1678584200.2419722,3.031578947368421,-0.0018373835000000001,-0.0006731495,9.766895e-07,200.0842,0
1678584204.1924863,2.863157894736842,-0.0018410395,-0.0006768039999999999,9.796685e-07,200.2584,0
1678584208.1756337,2.6947368421052635,-0.0018337275,-0.0006694955,9.762410000000001e-07,200.3329,0
1678584212.1530187,2.5263157894736845,-0.0018300719999999999,-0.0006731495,9.773205e-07,200.1949,0
1678584216.1198504,2.3578947368421055,-0.0018337275,-0.0006731495,9.779545e-07,200.2584,0
1678584220.1062372,2.1894736842105265,-0.0018264160000000002,-0.0006731495,9.75606e-07,200.2956,0
1678584224.0489306,2.0210526315789474,-0.0018191045,-0.0006731495,9.715435000000002e-07,200.232,0
1678584228.0111742,1.8526315789473686,-0.0018227605,-0.000680458,9.704645e-07,200.3067,0
1678584232.0057411,1.6842105263157896,-0.0018227605,-0.0006694955,9.67481e-07,200.2428,0
1678584236.0089676,1.5157894736842108,-0.0018117930000000001,-0.0006694955,9.62338e-07,200.318,0
1678584239.985679,1.3473684210526318,-0.0018081370000000002,-0.0006731495,9.64052e-07,200.4198,0
1678584243.970075,1.1789473684210527,-0.0018008255,-0.0006731495,9.606245000000001e-07,200.2915,0
1678584247.9419026,1.0105263157894737,-0.0018008255,-0.0006731495,9.606245000000001e-07,200.4958,0
1678584251.928003,0.8421052631578951,-0.0017971695000000003,-0.0006694955,9.57839e-07,200.6995,0
1678584255.868917,0.6736842105263161,-0.0017971695000000003,-0.0006731495,9.612625e-07,200.3937,0
1678584259.8443332,0.5052631578947371,-0.0017971695000000003,-0.0006731495,9.55927e-07,200.6108,0
1678584263.799646,0.33684210526315805,-0.001789858,-0.0006768039999999999,9.584825e-07,200.7133,0
1678584267.7700422,0.16842105263157903,-0.0017825465000000003,-0.0006694955,9.537745e-07,200.276,0
1678584271.731854,0.0,-0.0017788905000000002,-0.0006731495,9.514220000000001e-07,200.521,0
1678584275.7170262,0.0,-0.0017788905000000002,-0.0006658415,9.486415000000001e-07,200.6241,0
1678584279.7025986,-0.16842105263157894,-0.001775235,-0.0006658415,9.479984999999999e-07,200.83,0
1678584283.704055,-0.3368421052631579,-0.001775235,-0.0006658415,9.473585e-07,200.6376,0
1678584287.6828353,-0.5052631578947369,-0.0017788905000000002,-0.0006658415,9.456460000000001e-07,200.5986,0
1678584291.667461,-0.6736842105263158,-0.0017788905000000002,-0.0006658415,9.432945000000001e-07,200.4949,0
1678584295.6479688,-0.8421052631578947,-0.0017715790000000001,-0.0006621870000000001,9.445764999999999e-07,200.4299,0
1678584299.6124756,-1.0105263157894737,-0.0017496445,-0.0006621870000000001,9.364465000000001e-07,200.4422,0
1678584303.5917804,-1.1789473684210525,-0.001756956,-0.0006621870000000001,9.422224999999999e-07,200.3645,0
1678584307.5381002,-1.3473684210526315,-0.001760612,-0.000658533,9.409445e-07,200.7805,0
1678584311.4895267,-1.5157894736842106,-0.0017459885000000001,-0.0006548789999999999,9.306705000000001e-07,200.6649,0
