t,i,temp_desired,temp_tc,therm_res,therm_temp
1684263423.4438934,32,1.5,23.3927612,0,0
1684263424.7155163,32,1.5,23.395708,0,0
1684263425.7459757,32,1.5,23.3916149,0,0
1684263426.738005,32,1.5,23.4032135,0,0
1684263427.740538,32,1.5,23.4283332,0,0
1684263428.7254627,32,1.5,23.4802188,0,0
1684263429.7101743,32,1.5,23.5628147,0,0
1684263430.6905935,32,1.5,23.6737384,0,0
1684263431.6865876,32,1.5,23.7992134,0,0
1684263432.680188,32,1.5,23.9829673,0,0
1684263433.6658325,32,1.5,24.1710014,0,0
1684263434.6622117,32,1.5,24.3807048,0,0
1684263435.6526883,32,1.5,24.619297,0,0
1684263436.650593,32,1.5,24.8539886,0,0
1684263437.6479785,32,1.5,25.1165599,0,0
1684263438.6505663,32,1.5,25.3850269,0,0
1684263439.6426969,32,1.5,25.6616554,0,0
1684263440.63562,32,1.5,25.9494838,0,0
1684263441.6170473,32,1.5,26.2525806,0,0
1684263442.6128097,32,1.5,26.5510063,0,0
1684263443.610472,32,1.5,26.8533248,0,0
1684263444.6170988,32,1.5,27.1621208,0,0
1684263445.6132917,32,1.5,27.4807624,0,0
1684263446.6110878,32,1.5,27.8107128,0,0
1684263447.61002,32,1.5,28.1317329,0,0
1684263448.6097636,32,1.5,28.4583911,0,0
1684263449.6105287,32,1.5,28.8006782,0,0
1684263450.6098015,32,1.5,29.1232738,0,0
1684263451.6098518,32,1.5,29.4660663,0,0
1684263452.6116116,32,1.5,29.8173999,0,0
1684263453.608906,32,1.5,30.1613159,0,0
1684263454.6079516,32,1.4047981000000016,30.5084247,0,0
1684263455.5981271,32,1.0341217182649625,30.8732013,0,0
1684263456.5919259,32,0.6707563250000019,31.2380352,0,0
1684263457.5879087,32,0.300376925000001,31.6073055,0,0
1684263458.5821211,32,0,31.9625377,0,0
1684263459.6115625,32,0,32.3286705,0,0
1684263460.6229887,32,0,32.6552734,0,0
1684263461.6339989,32,0,32.9579887,0,0
1684263462.6304638,32,0,33.2196502,0,0
1684263463.6407063,32,0,33.4404525,0,0
1684263464.6387408,32,0,33.6316184,0,0
1684263465.6375115,32,0,33.7859725,0,0
1684263466.6414294,32,0,33.9280738,0,0
1684263467.6466866,32,0,34.0354919,0,0
1684263468.636721,32,0,34.1317901,0,0
1684263469.6447675,32,0,34.2005424,0,0
1684263470.6385455,32,0,34.2499542,0,0
1684263471.6369567,32,0,34.284832,0,0
1684263472.6461434,32,0,34.3184432,0,0
1684263473.6424694,32,0,34.3325805,0,0
1684263474.6400197,32,0,34.3362617,0,0
1684263475.6388497,32,0,34.3524322,0,0
1684263476.6311166,32,0,34.3355941,0,0
1684263477.6277966,32,0,34.3169631,0,0
1684263478.6340935,32,0,34.2980461,0,0
1684263479.6422918,32,0,34.2766456,0,0
1684263480.6397028,32,0,34.2522811,0,0
1684263481.646323,32,0,34.2158775,0,0
1684263482.6420693,32,0,34.1887245,0,0
1684263483.643251,32,0,34.1444473,0,0
1684263484.633478,32,0,34.0933341,0,0
1684263485.6363175,32,0,34.0529212,0,0
1684263486.6325796,32,0,34.0064468,0,0
1684263487.6258204,32,0,33.9487533,0,0
1684263488.616061,32,0,33.9016265,0,0
1684263489.609117,32,0,33.8524589,0,0
1684263490.608742,32,0,33.7981376,0,0
1684263491.5995288,32,0,33.7396125,0,0
1684263492.6020067,32,0,33.6822814,0,0
1684263493.6019502,32,0,33.6282997,0,0
1684263494.6114008,32,0,33.5667076,0,0
1684263495.624029,32,0,33.5011558,0,0
1684263496.628167,32,0,33.4395866,0,0
1684263497.6143732,32,0,33.388607,0,0
1684263498.590606,32,0,33.3251457,0,0
1684263499.5837376,32,0,33.2617225,0,0
