f2,b2,v2,x2,y2,r2,theta2,x8,y8,r8, theta8 
92.16,0.0,0.1,4.638503,0.0203548,0.04609265,359.9805,0.0542796,-0.00145341,0.0542986,-1.53
92.16,0.1,0.1,4.631192,-0.008878449,0.04631195,0.2522203,0.0542338,-0.0026436,0.0542948,-2.784
92.16,0.2,0.1,4.609257,-0.001570137,0.04616613,0.3427771,0.05423,-0.00271608,0.0542948,-2.862
92.16,0.3,0.1,4.616569,-0.001570137,0.04609275,0.2534224,0.0542262,-0.00269319,0.054291,-2.838
92.16,0.4,0.1,4.609257,0.01304649,0.04616577,0.4326482,0.0542223,-0.00269701,0.054291,-2.844
92.16,0.51,0.1,4.616569,0.005738174,0.04609275,0.34332,0.0542223,-0.00283433,0.0542948,-2.988
92.16,0.61,0.1,4.62388,0.02766311,0.04631192,359.8898,0.0542223,-0.00270845,0.054291,-2.856
92.16,0.71,0.1,4.616569,-0.008878449,0.04631192,0.07121587,0.0542262,-0.00273515,0.0542948,-2.886
92.16,0.81,0.1,4.609257,0.04227973,0.04616569,0.2526197,0.0542185,-0.00271989,0.0542872,-2.868
92.16,0.91,0.1,4.631192,0.005738174,0.04616613,0.07110326,0.0542223,-0.0027466,0.054291,-2.898
92.16,1.01,0.1,4.609257,0.0203548,0.04623963,359.9805,0.0542223,-0.00272371,0.054291,-2.874
92.16,1.11,0.1,4.616569,0.005738174,0.04616613,0.3427771,0.0542223,-0.00271989,0.054291,-2.868
92.16,1.21,0.1,4.62388,0.02766311,0.04616577,359.7089,0.0542147,-0.00280382,0.054291,-2.958
92.16,1.31,0.1,4.62388,0.03497142,0.04616597,359.9805,0.0542147,-0.00272371,0.0542796,-2.874
92.16,1.41,0.1,4.62388,-0.001570137,0.04623925,0.34332,0.0542147,-0.00277711,0.0542834,-2.934
92.16,1.52,0.1,4.609257,0.005738174,0.04609275,0.1616622,0.0542147,-0.00290681,0.054291,-3.072
92.16,1.62,0.1,4.616569,0.0203548,0.04616577,359.7997,0.0542185,-0.0027466,0.054291,-2.898
92.16,1.72,0.1,4.62388,0.005738174,0.0460926,0.2526197,0.0542147,-0.00275804,0.0542834,-2.91
92.16,1.82,0.1,4.616569,0.02766311,0.04609302,0.3438646,0.0542185,-0.0027466,0.054291,-2.898
92.16,1.92,0.1,4.62388,0.02766311,0.0460926,359.9805,0.0542109,-0.00276949,0.0542796,-2.922
92.16,2.02,0.1,4.62388,0.03497142,0.04616597,359.9805,0.0542147,-0.00270845,0.0542872,-2.856
92.16,2.12,0.1,4.62388,0.0203548,0.04616569,359.8898,0.0542147,-0.00276567,0.0542872,-2.916
92.16,2.22,0.1,4.631192,0.005738174,0.04623925,359.9805,0.0542109,-0.00275423,0.0542796,-2.904
92.16,2.32,0.1,4.616569,-0.008878449,0.04602078,0.2522203,0.0542147,-0.00272371,0.0542834,-2.874
92.16,2.42,0.1,4.616569,0.005738174,0.04616587,0.07110326,0.0542109,-0.00273897,0.0542796,-2.892
92.16,2.53,0.1,4.62388,-0.008878449,0.04623898,0.1616622,0.0542071,-0.00290681,0.0542834,-3.066
92.16,2.63,0.1,4.616569,0.005738174,0.04616572,359.89,0.0542071,-0.0027733,0.0542758,-2.928
92.16,2.73,0.1,4.616569,0.02766311,0.04609302,0.1624327,0.0542109,-0.0027733,0.0542796,-2.928
92.16,2.83,0.1,4.62388,-0.008878449,0.04616652,359.9805,0.0542147,-0.00276567,0.0542834,-2.916
92.16,2.93,0.1,4.62388,-0.001570137,0.046312,0.07121587,0.0542071,-0.00276567,0.0542758,-2.916
92.16,3.03,0.1,4.609257,0.01304649,0.04616569,0.1624327,0.0542109,-0.00274278,0.0542796,-2.892
92.16,3.13,0.1,4.616569,-0.008878449,0.04623884,359.9806,0.0542109,-0.0027733,0.0542796,-2.928
92.16,3.23,0.1,4.609257,0.02766311,0.04616577,359.9805,0.0542033,-0.0027733,0.0542719,-2.928
92.16,3.33,0.1,4.62388,0.0203548,0.04616569,359.8896,0.0542109,-0.00278856,0.0542796,-2.94
