t,i,x,y,r,theta,xK,tc,therm,dc
1678503989.269586, 3.2, 8.540626e-05, 3.7689200000000005e-05, 1.721768e-08, 27.55027, 0, 0, 0, -0.0
1678503994.760522, -3.2, 0.0001161149, 5.815245999999999e-05, 2.5737360000000003e-08, 23.72062, 0, 0, 0, -0.0
1678504001.4214845, 3.2, -4.32776e-05, 8.455946e-06, 1.1801674e-08, 173.1122, 0, 0, 0, -0.010526315789473684
1678504006.929753, -3.2, -1.4031274e-05, 2.453422e-05, 5.45062e-09, 103.7517, 0, 0, 0, -0.010526315789473684
1678504013.6198146, 3.2, -5.05892e-05, -1.4930650000000002e-05, 1.2035294000000001e-08, 201.2884, 0, 0, 0, -0.021052631578947368
1678504019.0899484, -3.2, -2.42675e-05, 2.609298e-06, 7.929574e-10, 102.0689, 0, 0, 0, -0.021052631578947368
1678504025.800558, 3.2, -4.473992e-05, -4.1240560000000003e-05, 1.3281784e-08, 219.1871, 0, 0, 0, -0.031578947368421054
1678504031.2771797, -3.2, -1.4031274e-05, -2.3700620000000003e-05, 4.1591039999999995e-09, 267.4198, 0, 0, 0, -0.031578947368421054
1678504038.0002098, 3.2, -5.936310000000001e-05, -6.316549999999999e-05, 1.8364968000000002e-08, 226.8212, 0, 0, 0, -0.042105263157894736
1678504043.5102885, -3.2, -1.9880542000000002e-05, -4.41639e-05, 9.085224e-09, 253.5988, 0, 0, 0, -0.042105263157894736
1678504050.2092183, 3.2, -6.667468e-05, -7.92438e-05, 2.134862e-08, 230.8284, 0, 0, 0, -0.05263157894736842
1678504055.692345, -3.2, -2.5729800000000006e-05, -6.608882000000001e-05, 1.3068562e-08, 258.2657, 0, 0, 0, -0.05263157894736842
1678504062.3889563, 3.2, -5.3513820000000004e-05, -0.00010409204, 2.37612e-08, 239.7987, 0, 0, 0, -0.06315789473684211
1678504067.8532462, -3.2, -2.42675e-05, -8.801376e-05, 1.8449504e-08, 263.6419, 0, 0, 0, -0.06315789473684211
1678504074.574871, 3.2, -5.790077999999999e-05, -0.00012601698, 2.7460359999999998e-08, 244.7762, 0, 0, 0, -0.07368421052631578
1678504080.0815756, -3.2, -1.4031274e-05, -0.00010555372000000001, 2.0526819999999998e-08, 267.7879, 0, 0, 0, -0.07368421052631578
1678504086.7883422, 3.2, -5.643846e-05, -0.00013917193999999998, 2.999206e-08, 247.8302, 0, 0, 0, -0.08421052631578947
1678504092.2815654, -3.2, -1.9880542000000002e-05, -0.00012163200000000002, 2.440274e-08, 264.9632, 0, 0, 0, -0.08421052631578947
1678504098.9847574, 3.2, -4.9126880000000004e-05, -0.00015525022, 3.36876e-08, 250.064, 0, 0, 0, -0.09473684210526316
1678504104.4729283, -3.2, -1.4031274e-05, -0.00014209525999999998, 2.790114e-08, 265.4372, 0, 0, 0, -0.09473684210526316
1678504111.1657567, 3.2, -3.889066e-05, -0.00017571349999999998, 3.691256e-08, 251.333, 0, 0, 0, -0.10526315789473684
1678504116.650169, -3.2, -1.2568958e-05, -0.00015817354, 3.198526e-08, 265.9461, 0, 0, 0, -0.10526315789473684
1678504123.3628402, 3.2, -4.766456e-05, -0.00019033012, 3.922008e-08, 251.8787, 0, 0, 0, -0.11578947368421053
1678504128.8613982, -3.2, -1.5493592e-05, -0.00016986684000000002, 3.3736219999999996e-08, 267.2185, 0, 0, 0, -0.11578947368421053
1678504135.5712032, 3.2, -3.889066e-05, -0.00020202340000000001, 4.195176e-08, 255.4511, 0, 0, 0, -0.12631578947368421
1678504141.0314634, -3.2, -1.1106642e-05, -0.00018448346, 3.661224e-08, 267.8973, 0, 0, 0, -0.12631578947368421
1678504147.7712116, 3.2, -3.596602e-05, -0.0002107934, 4.2652960000000005e-08, 257.2586, 0, 0, 0, -0.1368421052631579
1678504153.2567468, -3.2, -3.795058e-06, -0.00019179178, 3.8066199999999996e-08, 270.609, 0, 0, 0, -0.1368421052631579
1678504159.951013, 3.2, -4.766456e-05, -0.0002181016, 4.548936e-08, 253.9109, 0, 0, 0, -0.14736842105263157
1678504165.4310136, -3.2, -1.1106642e-05, -0.000203485, 4.07299e-08, 267.2865, 0, 0, 0, -0.14736842105263157
1678504172.1417623, 3.2, -4.620224e-05, -0.00022833340000000003, 4.648872e-08, 256.4625, 0, 0, 0, -0.15789473684210525
1678504177.5940182, -3.2, -1.6955908e-05, -0.0002107934, 4.24578e-08, 268.5908, 0, 0, 0, -0.15789473684210525
1678504184.3207083, 3.2, -4.9126880000000004e-05, -0.00023710339999999998, 4.8393960000000004e-08, 256.3578, 0, 0, 0, -0.16842105263157894
1678504189.8062518, -3.2, -1.2568958e-05, -0.0002181016, 4.215884e-08, 269.7744, 0, 0, 0, -0.16842105263157894
1678504196.5029204, 3.2, -4.181528e-05, -0.0002400266, 4.924842e-08, 257.4315, 0, 0, 0, -0.17894736842105263
1678504201.9805372, -3.2, -1.6955908e-05, -0.00022248660000000003, 4.420534e-08, 269.3993, 0, 0, 0, -0.17894736842105263
1678504208.6815057, 3.2, -4.181528e-05, -0.0002414882, 4.974804e-08, 259.4191, 0, 0, 0, -0.18947368421052632
1678504214.1750786, -3.2, -9.644326e-06, -0.0002239484, 4.36317e-08, 271.2736, 0, 0, 0, -0.18947368421052632
1678504220.8809822, 3.2, -4.181528e-05, -0.00024441160000000003, 4.974804e-08, 258.9648, 0, 0, 0, -0.2
1678504226.3711596, -3.2, -9.644326e-06, -0.00022833340000000003, 4.537978e-08, 270.888, 0, 0, 0, -0.2
