t,i,x,y,r,theta,xK,tc, therm
1678492705.8701115, 3.2, 0.003173575, -0.009078007, 9.685765000000002e-05, 289.6793, 0, 0, 0
1678492711.3696241, -3.2, 0.0032466910000000003, -0.009078007, 9.641121000000001e-05, 289.5341, 0, 0, 0
1678492716.8607695, 3.2, 0.003173575, -0.009078007, 9.616746000000001e-05, 289.6793, 0, 0, 0
1678492722.3595624, -3.2, 0.003173575, -0.009004924000000001, 9.641121000000001e-05, 289.2691, 0, 0, 0
1678492727.8539612, 3.2, 0.003173575, -0.009078007, 9.685765000000002e-05, 289.3909, 0, 0, 0
1678492733.3243916, -3.2, 0.0032466910000000003, -0.009224173, 9.616746000000001e-05, 289.6793, 0, 0, 0
1678492738.803891, 3.2, 0.003173575, -0.00915109, 9.685765000000002e-05, 289.5341, 0, 0, 0
1678492744.3089967, -3.2, 0.003173575, -0.009078007, 9.572338e-05, 290.0873, 0, 0, 0
1678492749.8341568, 3.2, 0.003173575, -0.009078007, 9.685765000000002e-05, 289.5341, 0, 0, 0
1678492755.3261683, -3.2, 0.003319807, -0.009078007, 9.734659e-05, 289.8266, 0, 0, 0
1678492760.8133216, 3.2, 0.0032466910000000003, -0.00915109, 9.616746000000001e-05, 289.1264, 0, 0, 0
1678492766.3032103, -3.2, 0.003173575, -0.00915109, 9.572338e-05, 289.9396, 0, 0, 0
1678492771.776535, 3.2, 0.0032466910000000003, -0.00915109, 9.685765000000002e-05, 288.8568, 0, 0, 0
1678492777.2651904, -3.2, 0.0032466910000000003, -0.00915109, 9.709967e-05, 290.0873, 0, 0, 0
1678492782.74488, 3.2, 0.003173575, -0.00915109, 9.685765000000002e-05, 289.2691, 0, 0, 0
1678492788.2309706, -3.2, 0.0032466910000000003, -0.009078007, 9.709967e-05, 290.2372, 0, 0, 0
